,DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches,Seats,Occupied Seats
68775,NS,2024-09-23,,907,0,1,BD,RTD,3,ICNG25,10,520,0
10424,NS,2024-09-23,,907,0,2,RTD,SHL,4,ICNG25,10,520,0
26118,NS,2024-09-23,,907,0,3,SHL,ASD,3,ICNG25,10,520,0
15924,NS,2024-09-23,,908,0,1,RTD,BD,2,ICNG25,10,520,0
24475,NS,2024-09-23,,909,0,1,BD,RTD,2,ICNG25,10,520,0
113901,NS,2024-09-23,,911,0,1,BD,RTD,3,ICNG25,13,676,0
4686,NS,2024-09-23,,911,0,2,RTD,SHL,3,ICNG25,13,676,0
149492,NS,2024-09-23,,911,0,3,SHL,ASD,2,ICNG25,13,676,0
78628,NS,2024-09-23,,912,0,1,ASD,SHL,2,ICNG25,13,676,0
176737,NS,2024-09-23,,912,0,2,SHL,RTD,2,ICNG25,13,676,0
193137,NS,2024-09-23,,912,0,3,RTD,BD,2,ICNG25,13,676,0
106534,NS,2024-09-23,,913,0,1,BD,RTD,2,ICNG25,10,520,0
35428,NS,2024-09-23,,915,0,1,BD,RTD,2,SW9-25KV,11,528,0
294,NS,2024-09-23,,915,0,2,RTD,SHL,2,SW9-25KV,11,528,0
167211,NS,2024-09-23,,915,0,3,SHL,ASD,2,SW9-25KV,11,528,0
4753,NS,2024-09-23,,916,0,1,ASD,SHL,2,SW9-25KV,11,528,0
196998,NS,2024-09-23,,916,0,2,SHL,RTD,2,SW9-25KV,11,528,0
93832,NS,2024-09-23,,916,0,3,RTD,BD,2,SW9-25KV,11,528,0
200229,NS,2024-09-23,,919,0,1,BD,RTD,2,SW7-25KV,9,432,0
199770,NS,2024-09-23,,919,0,2,RTD,SHL,2,SW7-25KV,9,432,0
72929,NS,2024-09-23,,919,0,3,SHL,ASD,2,SW7-25KV,9,432,0
4011,NS,2024-09-23,,920,0,2,SHL,RTD,2,ICNG25,10,520,0
198528,NS,2024-09-23,,920,0,3,RTD,BD,2,ICNG25,10,520,0
181533,NS,2024-09-23,,923,0,1,BD,RTD,2,ICNG25,13,676,0
176259,NS,2024-09-23,,923,0,2,RTD,SHL,2,ICNG25,13,676,0
84771,NS,2024-09-23,,923,0,3,SHL,ASD,2,ICNG25,13,676,0
56103,NS,2024-09-23,,924,0,1,ASD,SHL,2,ICNG25,13,676,0
147303,NS,2024-09-23,,924,0,2,SHL,RTD,2,ICNG25,13,676,0
62033,NS,2024-09-23,,924,0,3,RTD,BD,2,ICNG25,13,676,0
194604,NS,2024-09-23,,927,0,1,BD,RTD,2,ICNG25,5,260,0
197685,NS,2024-09-23,,927,0,2,RTD,SHL,3,ICNG25,5,260,0
27237,NS,2024-09-23,,927,0,3,SHL,ASD,3,ICNG25,5,260,0
193637,NS,2024-09-23,,928,0,2,SHL,RTD,2,ICNG25,5,260,0
107128,NS,2024-09-23,,928,0,3,RTD,BD,2,ICNG25,5,260,0
8514,NS,2024-09-23,,931,0,1,BD,RTD,2,SW7-25KV,9,432,0
190580,NS,2024-09-23,,931,0,2,RTD,SHL,2,SW7-25KV,9,432,0
38345,NS,2024-09-23,,931,0,3,SHL,ASD,2,SW7-25KV,9,432,0
78825,NS,2024-09-23,,932,0,1,ASD,SHL,2,SW7-25KV,9,432,0
39921,NS,2024-09-23,,932,0,2,SHL,RTD,2,SW7-25KV,9,432,0
127058,NS,2024-09-23,,932,0,3,RTD,BD,2,SW7-25KV,9,432,0
156061,NS,2024-09-23,,935,0,1,BD,RTD,2,ICNG25,13,676,0
147937,NS,2024-09-23,,935,0,2,RTD,SHL,2,ICNG25,13,676,0
