Jaar,Maand,Dag,Uur,Aantal_check_ins,Referentie_pre_COVID_19,Referentie_vorig_jaar,Delta_actueel_pre_COVID_19,Delta_actueel_vorig_jaar
2020,1,1,0,0.0031,0.0115,0.0115,-73%,-73%
2020,1,1,1,0.0066,0.0013,0.0013,400%,400%
2020,1,1,2,0.0077,0.0006,0.0006,1275%,1275%
2020,1,1,3,0.0067,0.0007,0.0007,803%,803%
2020,1,1,4,0.0066,0.0020,0.0020,227%,227%
2020,1,1,5,0.0084,0.0206,0.0206,-59%,-59%
2020,1,1,6,0.0095,0.1321,0.1321,-93%,-93%
2020,1,1,7,0.0158,0.4420,0.4420,-96%,-96%
2020,1,1,8,0.0176,0.4954,0.4954,-96%,-96%
2020,1,1,9,0.0245,0.2745,0.2745,-91%,-91%
2020,1,1,10,0.0335,0.2074,0.2074,-84%,-84%
2020,1,1,11,0.0500,0.2142,0.2142,-77%,-77%
2020,1,1,12,0.0714,0.2733,0.2733,-74%,-74%
2020,1,1,13,0.0948,0.2633,0.2633,-64%,-64%
2020,1,1,14,0.1053,0.2974,0.2974,-65%,-65%
2020,1,1,15,0.1073,0.3595,0.3595,-70%,-70%
2020,1,1,16,0.1017,0.4168,0.4168,-76%,-76%
2020,1,1,17,0.0862,0.4345,0.4345,-80%,-80%
2020,1,1,18,0.0695,0.2451,0.2451,-72%,-72%
2020,1,1,19,0.0630,0.1263,0.1263,-50%,-50%
2020,1,1,20,0.0561,0.0910,0.0910,-38%,-38%
2020,1,1,21,0.0464,0.0845,0.0845,-45%,-45%
2020,1,1,22,0.0367,0.0711,0.0711,-48%,-48%
2020,1,1,23,0.0248,0.0407,0.0407,-39%,-39%
2020,1,2,0,0.0084,0.0129,0.0129,-35%,-35%
2020,1,2,1,0.0010,0.0013,0.0013,-29%,-29%
2020,1,2,2,0.0004,0.0005,0.0005,-17%,-17%
2020,1,2,3,0.0007,0.0008,0.0008,-10%,-10%
2020,1,2,4,0.0018,0.0021,0.0021,-11%,-11%
2020,1,2,5,0.0153,0.0214,0.0214,-29%,-29%
2020,1,2,6,0.0701,0.1410,0.1410,-50%,-50%
2020,1,2,7,0.1528,0.4664,0.4664,-67%,-67%
2020,1,2,8,0.1826,0.5362,0.5362,-66%,-66%
2020,1,2,9,0.1306,0.2970,0.2970,-56%,-56%
2020,1,2,10,0.1229,0.2180,0.2180,-44%,-44%
2020,1,2,11,0.1444,0.2177,0.2177,-34%,-34%
2020,1,2,12,0.1674,0.2651,0.2651,-37%,-37%
2020,1,2,13,0.1823,0.2666,0.2666,-32%,-32%
2020,1,2,14,0.1899,0.3149,0.3149,-40%,-40%
2020,1,2,15,0.2108,0.3822,0.3822,-45%,-45%
