Route;Code;String
Amsterdam - Rotterdam via HSL;1000;Asd,Ass,Asdl,Shl,Hfd,Rtd
Den Haag C - Eindhoven;1100;Gvc,Gv,Gvmw,Rsw,Dt,Dtcp,Sdm,Rtd,Rtb,Rtz,Rtst,Rlb,Bdpb,Bd,Gz,Tbr,Tbu,Tb,Ot,Btl,Bet,Ehs,Ehv
Amsterdam C - Breda;900;Asd,Ass,Asdl,Shl,Hfd,Rtd,Rtb,Rtz,Rtst,Rlb,Bdpb,Bd
Amersfoort Schothorst - Schiphol;11600;Amfs,Amf,Brn,Hvs,Hvsm,Bsmz,Ndb,Wp,Dmnz,Dvd,Rai,Asdz,Shl
Amersfoort Schothorst - Den Haag;11700;Amfs,Amf,Dld,Bhv,Uto,Ut,Utlr,Utt,Vtn,Wd,Gdg,Gd,Llzm,Ztmo,Ztm,Ypb,Vb,Gvc
Amsterdam - Deventer;1500;Asd,Asdm,Assp,Dmn,Wp,Ndb,Bsmz,Hvsm,Hvs,Brn,Amf,Hvl,Apd,Apdo,Twl,Dv
Enschede - Schiphol;1600;Es,Esk,Hgl,Bn,Amri,Aml,Wdn,Rsn,Hon,Dvc,Dv,Twl,Apdo,Apd,Hvl,Amf,Brn,Hvs,Hvsm,Bsmz,Ndb,Wp,Dmnz,Dvd,Rai,Asdz,Shl
Enschede - Den Haag;1700;Es,Esk,Hgl,Bn,Amri,Aml,Wdn,Rsn,Hon,Dvc,Dv,Twl,Apdo,Apd,Hvl,Amf,Dld,Bhv,Uto,Ut,Utlr,Utt,Vtn,Wd,Gdg,Gd,Llzm,Ztmo,Ztm,Ypb,Vb,Gvc
Leeuwarden - Den Haag;1800;Lw,Gw,Akm,Hr,Wv,Swk,Mp,Zl,Kpnz,Dron,Lls,Almo,Almb,Almp,Alm,Almm,Ampo,Wp,Dmnz,Dvd,Rai,Asdz,Shl,Hfd,Nvp,Ssh,Ledn,Dvnk,Vst,Gvm,Laa,Gvc
Utrecht - Den Haag;2000;Ut,Utlr,Utt,Vtn,Wd,Gdg,Gd,Llzm,Ztmo,Ztm,Ypb,Vb,Gvc
Den Haag - Amsterdam;2100;Gvc,Laa,Gvm,Vst,Dvnk,Ledn,Vh,Hil,Had,Hlm,Hlms,Hwzb,Ass,Asd
Vlissingen - Amsterdam;2200;Bd,Bdpb,Lzw,Ddrz,Ddr,Zwd,Brd,Rlb,Rtst,Rtz,Rtb,Rtd,Sdm,Dtcp,Dt,Rsw,Gvmw,Gv,Laa,Gvm,Vst,Dvnk,Ledn,Vh,Hil,Had,Hlm,Hlms,Hwzb,Ass,Asd
Vlissingen - Amsterdam (snel);2300;Bd,Bdpb,Lzw,Ddrz,Ddr,Zwd,Brd,Rlb,Rtst,Rtz,Rtb,Rtd,Sdm,Dtcp,Dt,Rsw,Gvmw,Gv,Laa,Gvm,Vst,Dvnk,Ledn,Vh,Hil,Had,Hlm,Hlms,Hwzb,Ass,Asd
Lelystad - Dordrecht;2400;Lls,Almo,Almb,Almp,Alm,Almm,Ampo,Wp,Dmnz,Dvd,Rai,Asdz,Shl,Hfd,Nvp,Ssh,Ledn,Dvnk,Vst,Gvm,Laa,Gv,Gvmw,Rsw,Dt,Dtcp,Sdm,Rtd,Rtb,Rtz,Rtst,Rlb,Brd,Zwd,Ddr
Almere C - Amsterdam C;2600;Alm,Almm,Ampo,Wp,Dmn,Assp,Asdm,Asd
Utrecht C - Rotterdam C;2800;Ut,Utlr,Utt,Vtn,Wd,Gdg,Gd,Nwk,Cps,Rta,Rtn,Rtd
Enkhuizen - Maastricht;2900;Ekz,Bkf,Bkg,Hks,Hnk,Hn,Pmo,Pm,Pmw,Zdk,Zd,Ass,Asd,Asdm,Asa,Dvd,Asb,Ac,Bkl,Mas,Utz,Ut,Utvr,Utl,Htn,Htnc,Cl,Gdm,Zbm,Ht,Vg,Btl,Bet,Ehs,Ehv,Gp,Hze,Mz,Wt,Rm,Ec,Srn,Std,Lut,Bk,Bde,Mt
Den Helder - Nijmegen;3000;Hdr,Hdrz,Ana,Sgn,Hwd,Amrn,Amr,Hlo,Cas,Utg,Kma,Wm,Zzs,Kz,Zd,Ass,Asd,Asdm,Asa,Dvd,Asb,Ac,Bkl,Mas,Utz,Ut,Utvr,Bnk,Db,Mrn,Klp,Ed,Wf,Otb,Ah,Ahz,Est,Nml,Nm
Schiphol - Nijmegen;3100;Shl,Asdz,Rai,Asb,Ac,Bkl,Mas,Utz,Ut,Utvr,Bnk,Db,Mrn,Klp,Ed,Wf,Otb,Ah,Ahz,Est,Nml,Nm
Rotterdam - Schiphol - Arnhem;3200;Rtd,Sdm,Dtcp,Dt,Rsw,Gvmw,Gv,Laa,Gvm,Vst,Dvnk,Ledn,Ssh,Nvp,Hfd,Shl,Asdz,Rai,Asb,Ac,Bkl,Mas,Utz,Ut,Utvr,Bnk,Db,Mrn,Klp,Ed,Wf,Otb,Ah
Schiphol - Venlo;3500;Shl,Asdz,Rai,Asb,Ac,Bkl,Mas,Utz,Ut,Utvr,Utl,Htn,Htnc,Cl,Gdm,Zbm,Ht,Vg,Btl,Bet,Ehs,Ehv,Hmbv,Hmh,Hm,Hmbh,Dn,Hrt,Br,Vl
Roosendaal - Zwolle;3600;Vs,Vss,Mdb,Arn,Gs,Bzl,Krg,Kbd,Rb,Bgn,Rsd,Et,Bd,Gz,Tbr,Tbu,Tb,Ht,Hto,Rs,Ow,O,Rvs,Wc,Nmd,Nmgo,Nm,Nml,Est,Ahz,Ah,Ahp,Ahpr,Vp,Rh,Dr,Bmn,Zp,Dv,Ost,Wh,Zl
Dordrecht - Venlo;3700;Ddr,Zwd,Brd,Rlb,Rtst,Rtz,Rtb,Rtd,Sdm,Dtcp,Dt,Rsw,Gvmw,Gv,Laa,Gvm,Vst,Dvnk,Ledn,Ssh,Nvp,Hfd,Shl,Asdz,Rai,Asb,Ac,Bkl,Mas,Utz,Ut,Utvr,Utl,Htn,Htnc,Cl,Gdm,Zbm,Ht,Vg,Btl,Bet,Ehs,Ehv,Hmbv,Hmh,Hm,Hmbh,Dn,Hrt,Br,Vl
Enkhuizen - Heerlen;3900;Ekz,Bkf,Bkg,Hks,Hnk,Hn,Pmo,Pm,Pmw,Zdk,Zd,Ass,Asd,Asdm,Asa,Dvd,Asb,Ac,Bkl,Mas,Utz,Ut,Utvr,Utl,Htn,Htnc,Cl,Gdm,Zbm,Ht,Vg,Btl,Bet,Ehs,Ehv,Gp,Hze,Mz,Wt,Rm,Ec,Srn,Std,Gln,Sbk,Sn,Nh,Hb,Hrl
