,index,From,To,Seats,geometry,color
0,246,HOR,HVSP,400.0,"LINESTRING (5.17913 52.17778, 5.18304 52.18417, 5.18348 52.18502, 5.18378 52.1859, 5.18397 52.1868, 5.18459 52.19217, 5.18467 52.19306, 5.18529 52.19845, 5.18608 52.20563, 5.18669 52.211, 5.18682 52.2119, 5.18689 52.2128, 5.18726 52.2161)","[1.0, 1.0, 0.0]"
1,247,HVSP,HVS,400.0,"LINESTRING (5.18726 52.2161, 5.18739 52.21728, 5.18735 52.21817, 5.18727 52.21862, 5.18716 52.21907, 5.18703 52.21944, 5.18679 52.21994, 5.18654 52.22036, 5.18567 52.2216, 5.18503 52.22242, 5.18436 52.22322, 5.18409 52.22362, 5.18327 52.22458, 5.18218 52.2259)","[1.0, 1.0, 0.0]"
2,245,UTO,HOR,400.0,"LINESTRING (5.12476 52.10993, 5.12882 52.11081, 5.13019 52.11114, 5.13156 52.11141, 5.13569 52.11234, 5.13863 52.11298, 5.13925 52.11324, 5.1398 52.11353, 5.14028 52.11383, 5.14075 52.1142, 5.1412 52.11462, 5.1415 52.11497, 5.14178 52.11541, 5.14196 52.11582, 5.14217 52.11674, 5.14193 52.11832, 5.14192 52.11874, 5.14198 52.11918, 5.14212 52.11963, 5.1423 52.11999, 5.15727 52.14209, 5.17118 52.16483, 5.17913 52.17778)","[1.0, 1.0, 0.0]"
3,240,UT,RTD,800.0,LINESTRING EMPTY,"[1.0, 0.996078431372549, 0.0]"
4,242,DDZD,ZLW,800.0,"LINESTRING (4.67142 51.78998, 4.65228 51.7686, 4.65091 51.76701, 4.65032 51.7662, 4.6498 51.76537, 4.64932 51.76451, 4.63727 51.74138, 4.63686 51.7405, 4.6365 51.73963, 4.63623 51.73875, 4.63603 51.73788, 4.63589 51.73698, 4.63583 51.73609, 4.63585 51.7352, 4.63593 51.73431, 4.63609 51.73341, 4.63631 51.73254, 4.63661 51.73165, 4.63697 51.73078, 4.63743 51.72993, 4.63792 51.7291, 4.64819 51.71346, 4.64985 51.71098, 4.65092 51.70932, 4.6515 51.70849, 4.6548 51.7035, 4.65751 51.69933, 4.65807 51.6985, 4.65867 51.69768, 4.66029 51.69509, 4.6609 51.69428, 4.66145 51.69345, 4.6626 51.69179, 4.66305 51.69111)","[1.0, 0.996078431372549, 0.0]"
5,241,DDR,DDZD,800.0,"LINESTRING (4.66832 51.80717, 4.66987 51.80706, 4.67134 51.80693, 4.67287 51.80676, 4.6742 51.8066, 4.67495 51.80644, 4.67558 51.80625, 4.67621 51.80602, 4.67676 51.80574, 4.67712 51.80553, 4.67741 51.80532, 4.67771 51.80507, 4.67802 51.80474, 4.67822 51.80448, 4.67835 51.80426, 4.67849 51.80396, 4.67861 51.80364, 4.67866 51.80337, 4.67873 51.80295, 4.67869 51.80249, 4.67863 51.80209, 4.67807 51.80072, 4.67774 51.79985, 4.67661 51.79725, 4.67579 51.79552, 4.6753 51.79468, 4.67474 51.79385, 4.67412 51.79303, 4.67142 51.78998)","[1.0, 0.996078431372549, 0.0]"
6,243,ZLW,BDPB,800.0,"LINESTRING (4.66305 51.69111, 4.6637 51.69012, 4.66421 51.68929, 4.66804 51.68346, 4.66855 51.68262, 4.6691 51.68178, 4.66961 51.68093, 4.67728 51.66925, 4.69292 51.64678, 4.69508 51.64367, 4.69567 51.64285, 4.69632 51.64205, 4.69765 51.64045, 4.69826 51.63963, 4.70172 51.63468, 4.70227 51.63385, 4.70277 51.633, 4.70372 51.6313, 4.70425 51.63047, 4.72093 51.60641)","[1.0, 0.996078431372549, 0.0]"
7,154,VSS,VS,800.0,"LINESTRING (3.59511 51.46475, 3.59473 51.46403, 3.59432 51.46317, 3.59398 51.46231, 3.59366 51.4614, 3.59353 51.46091, 3.59324 51.45961, 3.59298 51.45782, 3.59294 51.45692, 3.59301 51.45602, 3.59334 51.45423, 3.59392 51.45155, 3.59406 51.45066, 3.59424 51.44976, 3.59473 51.44798, 3.59503 51.4471, 3.59528 51.44622, 3.59536 51.44584)","[1.0, 0.996078431372549, 0.0]"
8,151,GS,ARN,800.0,"LINESTRING (3.89055 51.49816, 3.88922 51.49813, 3.88868 51.49815, 3.88762 51.4982, 3.88582 51.49823, 3.88148 51.49816, 3.87283 51.49805, 3.86991 51.49808, 3.79783 51.50042, 3.7632 51.50153, 3.69686 51.50361, 3.6954 51.50362, 3.69399 51.5036, 3.69216 51.50352, 3.68967 51.50332, 3.6692 51.5015)","[1.0, 0.996078431372549, 0.0]"
9,152,ARN,MDB,800.0,"LINESTRING (3.6692 51.5015, 3.64819 51.49962, 3.62714 51.49773, 3.62611 51.49757, 3.62539 51.49741, 3.6247 51.49724, 3.62276 51.49663, 3.61718 51.49476)","[1.0, 0.996078431372549, 0.0]"
10,153,MDB,VSS,800.0,"LINESTRING (3.61718 51.49476, 3.61389 51.49365, 3.61302 51.4933, 3.61217 51.49289, 3.61159 51.49257, 3.6111 51.49228, 3.61058 51.49193, 3.61013 51.4916, 3.60967 51.49122, 3.60935 51.49093, 3.60889 51.49047, 3.60857 51.4901, 3.60824 51.48967, 3.60798 51.48929, 3.6077 51.48881, 3.59511 51.46475)","[1.0, 0.996078431372549, 0.0]"
11,150,BZL,GS,800.0,"LINESTRING (3.956 51.48071, 3.91231 51.49568, 3.90977 51.49654, 3.90848 51.49695, 3.90718 51.49733, 3.90584 51.49766, 3.90446 51.49793, 3.90306 51.49814, 3.90164 51.49826, 3.90075 51.49831, 3.89876 51.49836, 3.89732 51.49835, 3.89443 51.49823, 3.89055 51.49816)","[1.0, 0.996078431372549, 0.0]"
12,147,RB,KBD,800.0,"LINESTRING (4.16113 51.42264, 4.15832 51.42243, 4.15687 51.42237, 4.15545 51.42234, 4.154 51.42235, 4.15257 51.4224, 4.15184 51.42244, 4.14972 51.42259, 4.1483 51.42274, 4.14688 51.42293, 4.14549 51.42315, 4.14411 51.42341, 4.14276 51.4237, 4.14141 51.42402, 4.14009 51.42438, 4.13879 51.42477, 4.13752 51.42519, 4.13629 51.42565, 4.11698 51.43336)","[1.0, 0.996078431372549, 0.0]"
13,148,KBD,KRG,800.0,"LINESTRING (4.11698 51.43336, 4.08045 51.44795, 4.04521 51.46199, 4.0404 51.46395, 4.03738 51.46516)","[1.0, 0.996078431372549, 0.0]"
14,149,KRG,BZL,800.0,"LINESTRING (4.03738 51.46516, 4.03432 51.46637, 4.03184 51.46731, 4.03063 51.46779, 4.02942 51.46824, 4.02876 51.46846, 4.02754 51.46881, 4.02613 51.46913, 4.02475 51.46937, 4.02403 51.46947, 4.02261 51.46962, 4.02191 51.46966, 4.02049 51.4697, 4.00392 51.4694, 4.00247 51.46939, 4.00104 51.46939, 3.9996 51.46942, 3.99816 51.46947, 3.99673 51.46955, 3.9953 51.46966, 3.99388 51.4698, 3.99245 51.46995, 3.99104 51.47014, 3.98965 51.47034, 3.98827 51.47057, 3.98688 51.47083, 3.98552 51.47111, 3.98416 51.47142, 3.98282 51.47175, 3.9815 51.4721, 3.98019 51.47248, 3.97924 51.47277, 3.97796 51.47319, 3.956 51.48071)","[1.0, 0.996078431372549, 0.0]"
15,146,BGN,RB,800.0,"LINESTRING (4.296 51.49389, 4.29588 51.49332, 4.29544 51.49155, 4.2953 51.49066, 4.29531 51.48974, 4.29574 51.48346, 4.29714 51.4619, 4.29764 51.45382, 4.29763 51.45291, 4.29757 51.45202, 4.29744 51.45112, 4.29726 51.45022, 4.29702 51.44934, 4.29673 51.44846, 4.29639 51.44758, 4.29597 51.44672, 4.29552 51.44587, 4.29501 51.44503, 4.29443 51.44419, 4.29384 51.4434, 4.29316 51.44259, 4.29245 51.44181, 4.29169 51.44106, 4.2907 51.44017, 4.28982 51.43946, 4.2889 51.43876, 4.28793 51.43809, 4.28692 51.43745, 4.28588 51.43683, 4.28479 51.43623, 4.28368 51.43567, 4.28252 51.43512, 4.28135 51.43462, 4.28011 51.43414, 4.27887 51.43369, 4.2776 51.43327, 4.2763 51.43288, 4.27496 51.43252, 4.27363 51.4322, 4.27226 51.43191, 4.27089 51.43166, 4.2695 51.43144, 4.26809 51.43125, 4.26666 51.43109, 4.26239 51.43074, 4.20538 51.4262, 4.16113 51.42264)","[1.0, 0.996078431372549, 0.0]"
