,index,From,To,Seats,geometry,color
0,60,VHP,DA,24830.0,"LINESTRING (742513.7612542738 5817883.559401856, 742531.556835223 5817744.015244819, 742546.01474493 5817644.427271725, 742587.2757565379 5817292.063949987, 742594.9645598688 5817246.750663897, 742607.4989265823 5817186.074389058, 742630.588166157 5817104.745212264, 742647.3829228135 5817054.310092035, 743047.4770718096 5816084.458938959)","[1.0, 1.0, 0.0]"
1,61,DA,VZ,24830.0,"LINESTRING (743047.4770718096 5816084.458938959, 743358.6426663493 5815330.887725327, 744770.4427708737 5812193.551990699, 744855.725605096 5812000.534893815, 744911.3754522324 5811855.079710661)","[1.0, 1.0, 0.0]"
2,62,VZ,AML,24830.0,"LINESTRING (744911.3754522324 5811855.079710661, 745037.1713468553 5811547.061447996, 745076.5115861486 5811455.404983343, 745314.7460566837 5810971.3364044335, 745363.1585696556 5810875.67642843, 745389.3503561788 5810829.060230023, 745441.4021230119 5810742.498654236, 745498.1056323601 5810658.398899933, 745557.3094447927 5810578.882645927, 745620.4294837111 5810502.906230348, 746291.8809333899 5809758.569444909, 747017.440622166 5808932.3222036455, 747082.0189988759 5808855.320009499, 747143.9334483345 5808777.070088555, 747202.5034332273 5808697.538137796, 747259.2015200433 5808614.569006809, 747505.6626924947 5808244.678362083, 747565.8288809096 5808160.771991268, 747626.2297524897 5808085.794384599, 747700.6350393649 5808003.720782424, 747769.5508512211 5807935.8607220985, 747850.1500493321 5807866.36105938, 747883.6489846392 5807837.956242634, 747963.0103724184 5807779.54131114, 748046.3450124019 5807723.55696243, 748132.8041257677 5807673.304242724, 748332.2079789012 5807561.879730162, 748380.8535364646 5807530.898856629, 748413.396527556 5807508.021751215, 748435.5621752536 5807487.964451047, 748462.5484680911 5807467.03614067, 748501.8355581946 5807432.240011653, 748560.9043262738 5807370.579539816, 748790.5678199437 5807147.015135539)","[1.0, 1.0, 0.0]"
3,59,MRB,VHP,24830.0,"LINESTRING (742610.3819920277 5823709.313699873, 742542.0763262869 5823646.859575906, 742486.6026489517 5823586.156841508, 742357.8481028588 5823467.215204029, 742319.7505770295 5823426.321551941, 742297.9515686407 5823399.609002494, 742250.94281055 5823332.641563935, 742223.862733518 5823288.950693675, 742192.18010583 5823228.3149477085, 742158.0396228896 5823148.611597133, 742143.1691877194 5823105.525417671, 742128.5184343224 5823057.992231471, 742116.5810942751 5823010.5933339, 742107.5222166094 5822959.99340675, 742100.4434551636 5822910.60593766, 742095.5098359328 5822859.095620013, 742044.2322576699 5821309.658935751, 742045.7290201122 5821210.544208209, 742052.7101391795 5821110.586060258, 742064.4422867317 5821010.862726241, 742452.8800322874 5818440.016854908, 742475.9747737391 5818248.354150573, 742478.9084400602 5818202.805589499, 742513.7612542738 5817883.559401856)","[1.0, 1.0, 0.0]"
4,40,WS,NSCH,26685.0,"LINESTRING (769861.5196260989 5895362.826234693, 769968.937388248 5895348.816342709, 770067.7284966989 5895333.206311247, 770408.5812213398 5895294.479421608, 770464.380272395 5895292.059274966, 770561.7516786942 5895289.761536462, 770662.442098293 5895299.921131343, 770760.1435663356 5895315.489757901, 770865.9051396332 5895342.669332316, 770957.3755958402 5895373.502376802, 771049.7408220452 5895412.194635444, 771136.9840911308 5895458.404998646, 775184.7863024118 5897851.169754539, 777253.159345096 5899071.6290932875, 778370.10246766 5899733.34264221, 780548.3657819175 5901019.787026163)","[1.0, 0.984313725490196, 0.0]"
5,142,ZB,VDM,27180.0,"LINESTRING (758568.7087668281 5896992.224828672, 759008.295992468 5897091.851153316, 759132.3429213292 5897115.301603398, 759184.2805224604 5897121.463478809, 759235.2435480556 5897120.883036568, 759285.111559289 5897115.783700117, 759333.9450242971 5897105.0537008485, 759381.0155621945 5897089.768461627, 759434.5226789648 5897067.028066371, 759471.1442985227 5897046.716339198, 759503.8174121773 5897025.07542772, 759550.152832143 5896986.336630764, 759584.2196209521 5896951.391789894, 759616.5842305887 5896910.779626274, 759642.9353539726 5896869.840906377, 759665.4587410043 5896825.34927787, 759677.7210580197 5896797.025305227, 759697.3834394593 5896731.1931102015, 759722.6870090851 5896635.562228891, 760467.6915747924 5893835.03179261, 760490.4038379188 5893738.146933823, 760497.2638787241 5893698.379835549, 760504.4844763996 5893639.677064888, 760506.9060303017 5893595.20820207, 760507.9268783769 5893539.512886279, 760493.6807527688 5892938.8580372855, 760497.3181707887 5892896.685448957, 760507.822027683 5892839.276453816, 760508.7904095955 5892821.488916602, 760495.1479017981 5892258.77864194, 760498.6034828592 5892219.941226564, 760494.358984225 5892039.077957212, 760493.1354788286 5892012.251042882, 760482.2915851088 5891940.300042326, 760471.0911625366 5891899.55006224, 760466.6437490489 5891870.317718997, 760460.3427624336 5891739.518408898, 760454.1870320407 5891692.352964242, 760445.4762617237 5891642.818506238, 760434.5769033803 5891596.510050041, 760419.8448896304 5891546.648109737, 760384.0565453399 5891452.155519096, 760370.1815278779 5891423.525622553, 760336.5308895091 5891363.71510331, 760291.6188908815 5891276.532432228, 760280.8459937271 5891252.531582024, 760245.487904392 5891187.054062657, 760089.6324071407 5890931.054026479, 760017.3900166991 5890815.630226719)","[1.0, 0.9803921568627451, 0.0]"
6,126,EEM,RD,28260.0,"LINESTRING (754326.1999950287 5930110.536042981, 753490.2322895043 5930411.276836454, 753270.5532750285 5930487.58344321, 753221.4042038313 5930498.329690152, 753191.7262065063 5930493.394812462, 753151.976823292 5930490.150626415, 753118.0711430241 5930477.184954696, 753043.2497842383 5930433.039502654, 752561.2319262347 5929940.088408055, 752352.028697625 5929720.418706559, 752234.3440465498 5929593.723068483, 752172.0639889208 5929501.204383369, 752091.2603896307 5929344.14678053, 751987.435913374 5929156.875461942, 751976.3786496927 5929139.561969889, 751875.9934796605 5928962.5117095215, 751831.2024754719 5928878.735070789, 751779.2864464049 5928791.234812246, 751682.381379018 5928611.0304507185, 749872.2321303121 5925970.834961052, 749818.0745165581 5925886.588649718, 749768.6810534162 5925800.364713037, 749726.356549453 5925718.973957594)","[1.0, 0.9725490196078431, 0.0]"
7,109,KMW,HNP,36666.0,"LINESTRING (662143.1174669117 5864180.601558038, 662320.5811018136 5867789.499355629, 662342.8652603123 5868186.618425276, 662349.7276377215 5868242.519292214, 662370.6947192006 5868338.977412076, 662402.2981161491 5868439.134113911, 662440.9931328525 5868528.396043459, 662461.2554735037 5868565.820892315, 662487.9734419762 5868611.25719701, 662513.5346625972 5868651.087691591, 662689.621062855 5868894.180862967, 662807.0754412179 5869060.702882712)","[1.0, 0.9019607843137255, 0.0]"
8,110,HNP,WK,36666.0,"LINESTRING (662807.0754412179 5869060.702882712, 662864.3079378274 5869138.347620814, 662986.0434995833 5869297.22550423, 663754.6719930419 5870347.619577171, 663813.8119478626 5870427.569032435, 664463.9134169009 5871315.9610030325, 664819.0945929652 5871800.196324206, 664934.4991022549 5871963.36820896, 664970.4958817491 5872011.365424206)","[1.0, 0.9019607843137255, 0.0]"
9,108,STV,KMW,36666.0,"LINESTRING (658781.3201604367 5862273.057385946, 658931.2010866263 5862302.479082249, 659223.8646832816 5862372.236204352, 659321.4908790318 5862393.268275927, 660990.5806880032 5862726.942197503, 661087.2986193753 5862754.660611847, 661181.1394288031 5862787.851871596, 661274.7933753459 5862826.605642416, 661362.8791033096 5862870.7421615515, 661449.3578279616 5862922.620280782, 661532.958317602 5862979.970671343, 661610.9527363698 5863043.815301635, 661683.4898677218 5863109.7053771475, 661755.1289462664 5863182.246848442, 661819.2184610823 5863258.99007427, 661878.4861035505 5863338.912790028, 661932.2594196792 5863421.992266693, 661980.4266596993 5863511.564711915, 662023.1744615214 5863602.0693024965, 662059.7186115866 5863696.819714162, 662088.1911625941 5863791.29955876, 662112.5155100132 5863888.980535968, 662129.4041471849 5863987.5254206825, 662139.4926263621 5864088.068838978, 662143.1174669117 5864180.601558038)","[1.0, 0.9019607843137255, 0.0]"
