,index,From,To,Seats,geometry,color
0,11,MTH,HGZ,20700.0,"LINESTRING (6.7403 53.16081, 6.76412 53.16, 6.77074 53.15975)","[1.0, 1.0, 0.0]"
1,14,SDA,WS,20700.0,"LINESTRING (6.97775 53.16552, 6.98096 53.16383, 6.99098 53.15844, 6.9921 53.15786, 6.99434 53.15664, 7.00552 53.15068, 7.00886 53.14887, 7.02115 53.14231, 7.02234 53.14174, 7.02358 53.14125, 7.02487 53.14082, 7.02624 53.14046, 7.02765 53.14017, 7.03081 53.1397, 7.03508 53.13919)","[1.0, 1.0, 0.0]"
2,13,ZB,SDA,20700.0,"LINESTRING (6.86797 53.1594, 6.87461 53.16008, 6.87724 53.16036, 6.8779 53.16041, 6.87935 53.16049, 6.8804 53.16052, 6.88189 53.16052, 6.88485 53.16044, 6.88636 53.16041, 6.88786 53.16043, 6.88934 53.16049, 6.89082 53.1606, 6.89702 53.16121, 6.89849 53.16136, 6.89995 53.16155, 6.9014 53.16178, 6.90282 53.16205, 6.90424 53.16237, 6.907 53.16303, 6.90841 53.16332, 6.90985 53.16356, 6.91133 53.16376, 6.91281 53.16392, 6.96513 53.16912, 6.96595 53.16916, 6.9667 53.16916, 6.96742 53.16914, 6.96821 53.16909, 6.9689 53.16901, 6.96967 53.1689, 6.97035 53.16877, 6.9711 53.1686, 6.97175 53.16842, 6.97234 53.16823, 6.97305 53.16797, 6.97366 53.16771, 6.97423 53.16744, 6.97775 53.16552)","[1.0, 1.0, 0.0]"
3,12,HGZ,ZB,20700.0,"LINESTRING (6.77074 53.15975, 6.77757 53.15954, 6.78955 53.15914, 6.79103 53.15908, 6.82688 53.15785, 6.83881 53.15743, 6.8444 53.15724, 6.84514 53.15724, 6.84627 53.15727, 6.84776 53.15739, 6.8625 53.15887, 6.86797 53.1594)","[1.0, 1.0, 0.0]"
4,9,GERP,KW,20700.0,"LINESTRING (6.58546 53.20483, 6.58697 53.20406, 6.58929 53.20293, 6.59283 53.20127, 6.59399 53.2007, 6.59518 53.20016, 6.59611 53.19972, 6.59766 53.19908, 6.59893 53.19858, 6.60154 53.19772, 6.66994 53.17723, 6.7195 53.16233, 6.72022 53.16213, 6.72158 53.16182, 6.72208 53.16173)","[1.0, 1.0, 0.0]"
5,10,KW,MTH,20700.0,"LINESTRING (6.72208 53.16173, 6.723 53.16157, 6.72374 53.16147, 6.72451 53.16139, 6.72591 53.16129, 6.7403 53.16081)","[1.0, 1.0, 0.0]"
6,8,GN,GERP,20700.0,"LINESTRING (6.56471 53.21065, 6.56834 53.21078, 6.56984 53.21085, 6.57075 53.21081, 6.57126 53.21076, 6.57269 53.21048, 6.57336 53.2103, 6.57456 53.20992, 6.5753 53.20965, 6.57771 53.20858, 6.57888 53.20804, 6.58055 53.20721, 6.58468 53.20522, 6.58546 53.20483)","[1.0, 1.0, 0.0]"
7,0,LW,LWC,70254.0,"LINESTRING (5.79218 53.19596, 5.79318 53.19607, 5.79474 53.19636, 5.79553 53.19652, 5.79616 53.19667, 5.79654 53.19673, 5.80204 53.19739, 5.80351 53.19755, 5.82265 53.1998, 5.82855 53.20048, 5.83001 53.20063, 5.83147 53.20082, 5.84232 53.20208)","[1.0, 0.0, 0.0]"
8,7,ZH,GN,70254.0,"LINESTRING (6.40601 53.24838, 6.41085 53.24681, 6.41219 53.24641, 6.4135 53.246, 6.4228 53.24301, 6.42411 53.24256, 6.42538 53.24207, 6.42663 53.24156, 6.42781 53.24103, 6.42899 53.24048, 6.48108 53.2149, 6.48227 53.21436, 6.48283 53.21414, 6.48355 53.21391, 6.48416 53.21374, 6.48492 53.21356, 6.48634 53.21328, 6.48699 53.21318, 6.48782 53.21308, 6.4982 53.21228, 6.52489 53.21016, 6.52785 53.20993, 6.52936 53.20985, 6.53084 53.2098, 6.53233 53.20977, 6.53383 53.20977, 6.53683 53.20985, 6.5474 53.2102, 6.55039 53.21026, 6.55786 53.21051, 6.5597 53.21058, 6.56082 53.21056, 6.56384 53.21062, 6.56471 53.21065)","[1.0, 0.0, 0.0]"
9,6,GK,ZH,70254.0,"LINESTRING (6.30977 53.25578, 6.33293 53.25568, 6.33743 53.25568, 6.36894 53.25553, 6.37193 53.2555, 6.37346 53.25548, 6.37795 53.25535, 6.37944 53.25526, 6.38094 53.25512, 6.38241 53.25494, 6.38385 53.25472, 6.3853 53.25445, 6.38669 53.25414, 6.38809 53.25379, 6.39888 53.25065, 6.40156 53.24982, 6.40601 53.24838)","[1.0, 0.0, 0.0]"
