,index,From,To,Seats,geometry,color
0,6,WDN,NVD,51699.0,"LINESTRING (744537.1720681137 5807316.050980563, 744168.4582415873 5807266.532387713, 744107.2569195903 5807262.380900215, 743920.2854655591 5807235.275875657, 743820.5632903608 5807223.64595593, 743721.3011414733 5807216.498766754, 743622.6093931096 5807211.610781192, 740519.4549511708 5807131.368119864, 740419.9740862183 5807128.734703068, 740319.7040305276 5807128.293573958, 740118.7845246097 5807135.199771947, 738563.2454587936 5807234.486279303, 738420.708863664 5807247.6354909735, 738122.7961161572 5807285.582722151, 738023.3559663228 5807296.371847758, 737923.289572379 5807306.018282754, 737672.0601942039 5807323.9627085095, 737323.8680305262 5807343.927428406, 736523.9282292596 5807395.6651114235, 736224.2862876351 5807413.583683221, 735688.5840954304 5807432.462639994)","[1.0, 1.0, 0.0]"
1,5,AML,WDN,51699.0,"LINESTRING (748790.5678199437 5807147.015135539, 748560.9043262738 5807370.579539816, 748501.8355581946 5807432.240011653, 748462.5484680911 5807467.03614067, 748435.5621752536 5807487.964451047, 748377.5627536197 5807528.503593674, 748329.6539207125 5807558.40713205, 748161.2053616509 5807651.331279663, 748093.3378199986 5807684.688311748, 748042.4778616424 5807705.529132729, 747997.9677668181 5807722.232360196, 747947.3888340734 5807737.515513917, 747849.4024193028 5807759.326703557, 747788.1592804973 5807769.615923798, 747749.8232354785 5807772.143171563, 747649.3873096214 5807774.88756581, 747549.4551803237 5807767.628455197, 747450.5949610805 5807752.623519211, 747352.5266741099 5807735.431350595, 747154.8039153256 5807705.43146413, 744978.5405394294 5807372.558495132, 744537.1720681137 5807316.050980563)","[1.0, 1.0, 0.0]"
2,14,LTN,BNZ,91998.0,"LINESTRING (679796.4469542273 5773767.170568807, 679714.2249517527 5773992.4477486005, 679697.788663864 5774029.70971186, 679661.2526557525 5774129.709868971, 679644.8190546534 5774185.900074407, 679637.4490160239 5774219.03614264, 679631.2079089619 5774258.8934821775, 679626.7826109692 5774324.424918939, 679627.6723093954 5774356.746026629, 679634.2059747034 5774422.673452744, 679645.2105850284 5774478.741754317, 679655.5683968955 5774514.745287413, 679676.2014575979 5774570.048263447, 680053.3909279988 5775441.028839026, 680078.0025160502 5775518.74662139, 680087.8305341338 5775569.206708626, 680091.4150588715 5775602.7392442385, 680094.5156150536 5775668.543467385, 680107.032179103 5776117.706185713, 680105.1377140838 5776169.968374097, 680099.9004123954 5776219.882545548, 680090.6356928005 5776267.423890055, 680074.8463048489 5776324.749558309, 680061.7963307692 5776363.246363542, 680036.3819383578 5776421.336714629, 680018.7010346896 5776455.212101849, 679991.7573119998 5776498.772733601, 679963.605870398 5776537.836051019, 679937.0255050866 5776571.389302918, 679899.8940924709 5776612.3545265, 678805.501838129 5777782.004861134, 678737.6756142883 5777857.50172477, 678124.5584610507 5778556.955298944)","[1.0, 0.611764705882353, 0.0]"
3,13,EDC,LTN,91998.0,"LINESTRING (682990.3295609881 5769247.279252232, 683024.9437747269 5769314.244652451, 683033.6028016488 5769340.172180085, 683043.664655478 5769383.966434903, 683046.234463139 5769407.443271962, 683046.6655861007 5769433.068385027, 683041.5206558179 5769479.643999976, 683036.4667822465 5769505.0674851, 683028.025726971 5769529.253018908, 682975.6192130139 5769647.579056935, 682960.2727565605 5769691.55293832, 682954.4112410436 5769720.287138957, 682952.1411564485 5769744.699529479, 682938.6163670965 5769944.622814803, 682932.4282715741 5769982.252598423, 682926.648812229 5770008.76294167, 682915.8254285459 5770041.768639393, 682906.0145367805 5770065.903986529, 682888.9398189081 5770100.906948447, 682870.6984807437 5770130.299874644, 682845.4386648173 5770163.888849814, 680002.701817301 5773337.06052379, 679961.115870724 5773386.772543618, 679940.8473321286 5773416.101301506, 679909.4179361991 5773469.521450477, 679884.1144793655 5773524.276773663, 679822.5124791891 5773691.287602838, 679796.4469542273 5773767.170568807)","[1.0, 0.611764705882353, 0.0]"
4,12,ED,EDC,91998.0,"LINESTRING (683372.382469425 5767485.383382913, 683222.5921096526 5767524.410657409, 683171.1817645446 5767540.335482029, 683130.7868991746 5767555.552241165, 683091.6414879757 5767574.155555961, 683072.5913533836 5767587.930294054, 683054.9130934934 5767601.755502621, 683022.863729412 5767632.86790386, 682996.9876396509 5767664.207229431, 682979.5465098433 5767690.289246023, 682966.2615987171 5767715.410505623, 682950.9925930825 5767757.160554904, 682945.2115960618 5767783.670861649, 682930.995801221 5767908.967733332, 682838.9498411245 5768807.476090109, 682838.0109456242 5768833.050793077, 682838.6393127014 5768872.044342745, 682842.1737490301 5768906.690817829, 682852.80171557 5768953.845612866, 682878.5385315877 5769038.298877841, 682891.8353507787 5769068.850161475, 682990.3295609881 5769247.279252232)","[1.0, 0.611764705882353, 0.0]"
5,3,BN,AMRI,121239.0,"LINESTRING (755549.253253775 5800903.441182882, 755412.2800837273 5801107.015827489, 755359.5823326779 5801174.510024535, 755303.823839501 5801235.158151818, 755249.1510952037 5801288.06035176, 755179.7652956288 5801348.004072071, 754250.6088501966 5802086.9359630905, 753948.6515231156 5802298.754935817, 751891.425086327 5803733.562570894, 751834.7164715003 5803774.132689744, 749759.6681894367 5805410.558113257)","[1.0, 0.3333333333333333, 0.0]"
6,0,ES,ESK,121239.0,"LINESTRING (765672.8637293694 5792922.246449772, 765194.843746377 5792809.621407103, 765095.6170413394 5792783.117444269, 765015.6520447079 5792767.681586071, 764951.7741143411 5792758.683379955, 764609.7956093655 5792687.969746302, 764539.0295472114 5792679.723123668, 764479.008635839 5792675.396833228, 764409.1916041947 5792675.006581726, 764309.720023304 5792678.605799469, 764263.6205185333 5792682.830158952, 764210.3967752788 5792692.248238351, 764157.7966058011 5792702.81500323, 764069.6057702696 5792725.97353919, 764016.5907846469 5792744.323249145, 763971.2048416237 5792760.851249952, 763922.850968256 5792781.680414131, 763877.169034434 5792803.767450311, 763793.1382388349 5792851.678415582, 763749.1498104937 5792880.545728628, 763667.2001511112 5792940.832492999, 763444.0714776183 5793145.20682058, 762088.2365839465 5794390.793366614)","[1.0, 0.3333333333333333, 0.0]"
7,1,ESK,HGL,121239.0,"LINESTRING (762088.2365839465 5794390.793366614, 760787.6829408013 5795587.221372889, 760712.3429761997 5795653.473239148, 760564.2221743627 5795789.4592038365, 759900.593673964 5796399.924161007, 759761.7161103919 5796543.105576622, 759619.4355274196 5796686.111301563, 759538.2801488095 5796746.498957717, 759451.8449105839 5796803.266100966, 759359.7397274827 5796850.818852396, 759261.6908556778 5796881.340065549, 759153.4296452827 5796897.950263002, 759061.7736275898 5796910.975220714, 758886.473970999 5796940.794443224)","[1.0, 0.3333333333333333, 0.0]"
8,2,HGL,BN,121239.0,"LINESTRING (758886.473970999 5796940.794443224, 758763.0928974879 5796958.849487538, 758659.394573378 5796966.791606352, 758522.7642503899 5796989.731885249, 758380.9534476015 5797020.20766508, 758327.500596573 5797035.245579766, 758289.7945770253 5797049.993231547, 758236.4429440132 5797076.18448955, 758192.52490565 5797105.099107308, 758146.0960397646 5797142.800447351, 758112.1778525405 5797176.697489832, 758086.6194102152 5797207.687681898, 757972.6901071081 5797372.282427861, 757818.453930055 5797601.655889307, 755879.0032680496 5800435.659712914, 755589.2269197431 5800844.206336059, 755549.253253775 5800903.441182882)","[1.0, 0.3333333333333333, 0.0]"
9,4,AMRI,AML,121239.0,"LINESTRING (749759.6681894367 5805410.558113257, 749470.9374101352 5805638.894796786, 749433.1047241368 5805671.529331133, 749397.8833409454 5805706.525562415, 749376.1619980128 5805731.060215789, 749346.731232443 5805773.037542066, 749315.1509003133 5805830.510111806, 749304.3239627854 5805855.596839064, 749289.1920393609 5805898.298665843, 749274.1833359813 5805965.5272969, 749163.9889410222 5806632.032646109, 749157.0795389784 5806660.661609599, 749142.4623305585 5806706.733434913, 749126.0846025714 5806747.14330937, 749104.9983832341 5806786.200286572, 749056.9255929452 5806859.557515467, 749033.4551037312 5806891.806636631, 748985.6599073786 5806946.230816721, 748917.0572958895 5807020.779458472, 748790.5678199437 5807147.015135539)","[1.0, 0.3333333333333333, 0.0]"
