,index,From,To,Seats,geometry,color
0,0,ES,ESK,7752.0,"LINESTRING (6.88999 52.22253, 6.88292 52.22175, 6.88145 52.22156, 6.88027 52.22146, 6.87933 52.22141, 6.87428 52.22094, 6.87324 52.2209, 6.87236 52.22089, 6.87134 52.22092, 6.86989 52.221, 6.86922 52.22106, 6.86845 52.22117, 6.86769 52.22129, 6.86642 52.22154, 6.86566 52.22173, 6.86501 52.2219, 6.86432 52.22211, 6.86367 52.22233, 6.86248 52.2228, 6.86186 52.22308, 6.86071 52.22366, 6.85761 52.2256, 6.83877 52.23742)","[1.0, 1.0, 0.0]"
1,1,ESK,HGL,7752.0,"LINESTRING (6.83877 52.23742, 6.82069 52.24877, 6.81964 52.2494, 6.81758 52.25069, 6.80835 52.25648, 6.80643 52.25783, 6.80446 52.25918, 6.80332 52.25976, 6.8021 52.26031, 6.80079 52.26078, 6.79938 52.2611, 6.79781 52.2613, 6.79648 52.26146, 6.79394 52.26181)","[1.0, 1.0, 0.0]"
2,2,HGL,BN,7752.0,"LINESTRING (6.79394 52.26181, 6.79215 52.26203, 6.79064 52.26215, 6.78866 52.26242, 6.78661 52.26276, 6.78584 52.26292, 6.7853 52.26307, 6.78454 52.26333, 6.78392 52.26361, 6.78327 52.26397, 6.7828 52.26429, 6.78245 52.26458, 6.78091 52.26611, 6.77883 52.26824, 6.75262 52.29457, 6.74869 52.29837, 6.74815 52.29892)","[1.0, 1.0, 0.0]"
3,3,BN,AMRI,7752.0,"LINESTRING (6.74815 52.29892, 6.7463 52.30081, 6.74558 52.30144, 6.74481 52.30201, 6.74405 52.30251, 6.74308 52.30308, 6.73004 52.31014, 6.72578 52.31218, 6.69674 52.326, 6.69594 52.32639, 6.66677 52.34202)","[1.0, 1.0, 0.0]"
4,4,AMRI,AML,7752.0,"LINESTRING (6.66677 52.34202, 6.66271 52.3442, 6.66218 52.34451, 6.66169 52.34484, 6.66139 52.34507, 6.66099 52.34546, 6.66057 52.34599, 6.66043 52.34622, 6.66024 52.34661, 6.66007 52.34722, 6.65895 52.35325, 6.65887 52.35351, 6.65869 52.35393, 6.65848 52.3543, 6.6582 52.35466, 6.65755 52.35534, 6.65723 52.35564, 6.65657 52.35615, 6.65562 52.35685, 6.65386 52.35804)","[1.0, 1.0, 0.0]"
5,5,AML,WDN,7752.0,"LINESTRING (6.65386 52.35804, 6.65066 52.36015, 6.64984 52.36073, 6.64929 52.36106, 6.64891 52.36126, 6.64809 52.36165, 6.64741 52.36194, 6.64501 52.36285, 6.64404 52.36318, 6.64331 52.36339, 6.64267 52.36356, 6.64194 52.36372, 6.64052 52.36396, 6.63963 52.36408, 6.63907 52.36412, 6.6376 52.36419, 6.63613 52.36417, 6.63467 52.36408, 6.63322 52.36397, 6.6303 52.36379, 6.59816 52.36178, 6.59165 52.36147)","[1.0, 1.0, 0.0]"
6,6,WDN,NVD,7752.0,"LINESTRING (6.59165 52.36147, 6.58621 52.36119, 6.58531 52.36118, 6.58255 52.36102, 6.58108 52.36096, 6.57962 52.36094, 6.57817 52.36094, 6.53263 52.36159, 6.53117 52.36161, 6.5297 52.36165, 6.52676 52.3618, 6.50403 52.36337, 6.50195 52.36355, 6.49761 52.36402, 6.49616 52.36416, 6.4947 52.36429, 6.49103 52.36456, 6.48594 52.36489, 6.47425 52.3657, 6.46987 52.36599, 6.46203 52.36639)","[1.0, 1.0, 0.0]"
7,7,NVD,RAT,38760.0,"LINESTRING (6.46203 52.36639, 6.45962 52.36653, 6.44647 52.36743, 6.445 52.36752, 6.44354 52.36758, 6.44061 52.36774, 6.39535 52.37086, 6.39244 52.37113, 6.35918 52.37479, 6.30128 52.38114, 6.29983 52.38133, 6.29842 52.38156, 6.29702 52.38184, 6.29616 52.38204, 6.29503 52.38234, 6.2936 52.38277, 6.29299 52.38297, 6.29173 52.38344, 6.29102 52.38372, 6.28993 52.3842, 6.28886 52.38473, 6.28823 52.38507, 6.28717 52.38569, 6.28003 52.39021, 6.27905 52.39087, 6.27766 52.39176)","[1.0, 0.0, 0.0]"
8,8,RAT,HNO,38760.0,"LINESTRING (6.27766 52.39176, 6.27391 52.39409, 6.24429 52.41285, 6.22485 52.42513, 6.22136 52.42737)","[1.0, 0.0, 0.0]"
9,9,HNO,ZL,38760.0,"LINESTRING (6.22136 52.42737, 6.21976 52.42838, 6.21869 52.42901, 6.19719 52.44256, 6.16539 52.46255, 6.13254 52.48314, 6.1305 52.48445, 6.1285 52.48579, 6.12646 52.48711, 6.11004 52.49739, 6.10901 52.49803, 6.1079 52.49862, 6.10706 52.49899, 6.10669 52.49914, 6.10542 52.49958, 6.09855 52.50221, 6.09826 52.50235, 6.0973 52.50272, 6.09611 52.50323, 6.0949 52.50369, 6.09358 52.50412, 6.09194 52.50472)","[1.0, 0.0, 0.0]"
