,index,From,To,Seats,geometry,color
0,197,AMRI,AML,3000.0,"LINESTRING (6.66677 52.34202, 6.66271 52.3442, 6.66218 52.34451, 6.66169 52.34484, 6.66139 52.34507, 6.66099 52.34546, 6.66057 52.34599, 6.66043 52.34622, 6.66024 52.34661, 6.66007 52.34722, 6.65895 52.35325, 6.65887 52.35351, 6.65869 52.35393, 6.65848 52.3543, 6.6582 52.35466, 6.65755 52.35534, 6.65723 52.35564, 6.65657 52.35615, 6.65562 52.35685, 6.65386 52.35804)","[1.0, 1.0, 0.0]"
1,194,ESK,HGL,3000.0,"LINESTRING (6.83877 52.23742, 6.82069 52.24877, 6.81964 52.2494, 6.81758 52.25069, 6.80835 52.25648, 6.80643 52.25783, 6.80446 52.25918, 6.80332 52.25976, 6.8021 52.26031, 6.80079 52.26078, 6.79938 52.2611, 6.79781 52.2613, 6.79648 52.26146, 6.79394 52.26181)","[1.0, 1.0, 0.0]"
2,195,HGL,BN,3000.0,"LINESTRING (6.79394 52.26181, 6.79215 52.26203, 6.79064 52.26215, 6.78866 52.26242, 6.78661 52.26276, 6.78584 52.26292, 6.7853 52.26307, 6.78454 52.26333, 6.78392 52.26361, 6.78327 52.26397, 6.7828 52.26429, 6.78245 52.26458, 6.78091 52.26611, 6.77883 52.26824, 6.75262 52.29457, 6.74869 52.29837, 6.74815 52.29892)","[1.0, 1.0, 0.0]"
3,193,ES,ESK,3000.0,"LINESTRING (6.88999 52.22253, 6.88292 52.22175, 6.88145 52.22156, 6.88027 52.22146, 6.87933 52.22141, 6.87428 52.22094, 6.87324 52.2209, 6.87236 52.22089, 6.87134 52.22092, 6.86989 52.221, 6.86922 52.22106, 6.86845 52.22117, 6.86769 52.22129, 6.86642 52.22154, 6.86566 52.22173, 6.86501 52.2219, 6.86432 52.22211, 6.86367 52.22233, 6.86248 52.2228, 6.86186 52.22308, 6.86071 52.22366, 6.85761 52.2256, 6.83877 52.23742)","[1.0, 1.0, 0.0]"
4,196,BN,AMRI,3000.0,"LINESTRING (6.74815 52.29892, 6.7463 52.30081, 6.74558 52.30144, 6.74481 52.30201, 6.74405 52.30251, 6.74308 52.30308, 6.73004 52.31014, 6.72578 52.31218, 6.69674 52.326, 6.69594 52.32639, 6.66677 52.34202)","[1.0, 1.0, 0.0]"
5,235,WV,SWK,21569.0,"LINESTRING (6.00386 52.88094, 6.00704 52.87822, 6.00794 52.8775, 6.02377 52.86439, 6.02727 52.86148, 6.04572 52.8462, 6.04745 52.84474, 6.04827 52.84397, 6.04904 52.8432, 6.0741 52.8177, 6.07491 52.81696, 6.07577 52.81623, 6.10367 52.79522, 6.10421 52.79484, 6.10464 52.79456, 6.10515 52.79426, 6.10575 52.79395, 6.10811 52.79288, 6.10864 52.79268, 6.1094 52.79243, 6.11008 52.79224, 6.11077 52.79208, 6.11217 52.79185, 6.11363 52.79166, 6.11455 52.79152)","[1.0, 0.9803921568627451, 0.0]"
6,236,SWK,MP,21569.0,"LINESTRING (6.11455 52.79152, 6.11794 52.79098, 6.11936 52.79074, 6.12078 52.79046, 6.1222 52.79021, 6.14798 52.78604, 6.15084 52.78557, 6.15226 52.78535, 6.15303 52.78522, 6.15367 52.78509, 6.15437 52.78493, 6.15564 52.78456, 6.15635 52.78432, 6.15702 52.78406, 6.15817 52.78354, 6.15926 52.78293, 6.16024 52.78226, 6.16107 52.78158, 6.16149 52.78117, 6.16181 52.78082, 6.16238 52.78008, 6.16273 52.77953, 6.19261 52.73162, 6.2031 52.71476, 6.20388 52.7135, 6.20424 52.71278, 6.20446 52.7122, 6.20458 52.71178, 6.20467 52.71131, 6.20471 52.71088, 6.2047 52.71, 6.20454 52.70913, 6.20439 52.70862, 6.20402 52.70775, 6.20085 52.7008, 6.20047 52.69993, 6.20015 52.69905, 6.19916 52.6959, 6.19851 52.69374, 6.19816 52.69287, 6.19751 52.69083)","[1.0, 0.9803921568627451, 0.0]"
7,234,HR,WV,21569.0,"LINESTRING (5.91442 52.96149, 5.91574 52.96035, 5.91662 52.95964, 5.91917 52.95742, 5.92929 52.94848, 5.94192 52.93726, 5.94362 52.93578, 5.95793 52.92307, 5.96573 52.91545, 5.98441 52.89716, 5.98521 52.89638, 5.98603 52.89564, 5.9983 52.88548, 6.00005 52.88403, 6.0009 52.88329, 6.00273 52.88188, 6.00386 52.88094)","[1.0, 0.9803921568627451, 0.0]"
8,233,AKM,HR,21569.0,"LINESTRING (5.84379 53.04642, 5.8442 53.04548, 5.84544 53.04287, 5.84673 53.04028, 5.85098 53.03161, 5.85229 53.02898, 5.85441 53.02463, 5.8656 53.00191, 5.86608 53.00104, 5.86664 53.0002, 5.8673 52.9994, 5.86805 52.99862, 5.86891 52.99786, 5.86982 52.99715, 5.88851 52.983, 5.90063 52.97379, 5.90232 52.97231, 5.91075 52.96486, 5.91231 52.96333, 5.91442 52.96149)","[1.0, 0.9803921568627451, 0.0]"
9,199,WDN,RSN,23700.0,"LINESTRING (6.59165 52.36147, 6.585 52.36113, 6.58356 52.36097, 6.58214 52.36072, 6.58144 52.36055, 6.58057 52.36029, 6.57952 52.35991, 6.57888 52.35963, 6.57837 52.35937, 6.57731 52.35873, 6.5764 52.35803, 6.57035 52.35293, 6.57012 52.35272, 6.56863 52.35148, 6.5531 52.33838, 6.55151 52.33688, 6.54766 52.33306, 6.54688 52.33231, 6.53784 52.32411, 6.53618 52.32263, 6.53537 52.32187, 6.53455 52.32113, 6.53368 52.3204, 6.53275 52.31971, 6.53178 52.31904, 6.52564 52.31518, 6.52466 52.31452, 6.52364 52.31388, 6.52223 52.31301, 6.5215 52.31264, 6.52037 52.31214)","[1.0, 0.9803921568627451, 0.0]"
