,index,From,To,Seats,geometry,color
0,7,GDM,BSD,64530.0,"LINESTRING (656320.3446012918 5750464.5862343535, 656192.7594741833 5750889.142686217, 656002.29078306 5751542.15001752, 655961.4668552197 5751658.8649237575, 655920.030395034 5751751.073264907, 655875.2593100213 5751839.838844161, 655820.9274310115 5751926.081066885, 655761.3012725634 5752005.4806293305, 655696.3117209051 5752080.261723608, 655625.2363684045 5752151.515176373, 655549.5202890771 5752217.059981591, 655469.1634352438 5752276.89634974, 655382.824425922 5752329.869801529, 655295.3184284468 5752376.130010241, 655203.1711982733 5752416.682419028, 655109.1685659438 5752450.500531104, 655013.3446382814 5752476.472451504, 654914.2888342944 5752495.667725641, 654814.0644468727 5752508.1503672395, 654715.4913390607 5752511.781474848, 654615.0265511312 5752509.790754806, 654315.7621597709 5752479.40894977, 651525.8689708009 5752183.8278413275, 651327.5988185183 5752160.022793156, 650978.9069357254 5752123.896332274)","[1.0, 1.0, 0.0]"
1,10,AKL,GR,64530.0,"LINESTRING (637182.4686856802 5748680.9447352365, 637121.611230809 5748639.215895477, 637045.5890729346 5748572.589916814, 636976.6006910871 5748500.593014662, 636915.3952830974 5748421.019611538, 636861.2237711428 5748336.074718201, 636816.1515738823 5748245.814471299, 636781.4648513461 5748153.612323878, 636754.5013345755 5748056.056797474, 636134.376049248 5745214.73142322, 636081.3784406985 5744982.931857261, 636060.9024994905 5744924.50794938, 636048.6278411858 5744894.127962236, 636019.1955440245 5744835.461470686, 635971.2869113061 5744746.247388258, 635944.0962922215 5744706.560747233, 635912.1129656421 5744665.631624042, 635847.3052834662 5744589.315584542, 635811.755379471 5744552.742065458, 635774.7669209583 5744518.355618174, 635739.0355229776 5744488.454886073, 635696.444372023 5744457.256107013, 635651.6656433599 5744430.450007684, 635612.2778315934 5744408.24139962)","[1.0, 1.0, 0.0]"
2,9,LDM,AKL,64530.0,"LINESTRING (643905.9542145131 5751376.9480972765, 643749.4713196419 5751359.098566633, 643648.4932618558 5751350.636377264, 642851.4559695005 5751266.626196811, 642751.258475831 5751254.865674627, 642651.843651237 5751239.79065663, 642553.2113012964 5751221.401099716, 642454.7048357888 5751198.56535514, 642357.6368374162 5751173.54660572, 642262.0703695919 5751144.120697789, 642166.5659836498 5751112.472561014, 642073.2507750215 5751076.43667388, 641980.0603817198 5751035.95440351, 641890.3718263023 5750993.347281607, 639274.1071089422 5749715.754187296, 637291.6197386497 5748745.141664471, 637204.1005617763 5748696.004247659, 637182.4686856802 5748680.9447352365)","[1.0, 1.0, 0.0]"
3,8,BSD,LDM,64530.0,"LINESTRING (650978.9069357254 5752123.896332274, 650330.9091087618 5752057.651482171, 648435.7805801431 5751857.533514232, 647738.4269301532 5751782.373096118, 647439.0974690879 5751752.403798432, 647041.0895934564 5751706.1981223775, 644446.9818419771 5751431.477436036, 644047.3640518538 5751392.143077211, 643905.9542145131 5751376.9480972765)","[1.0, 1.0, 0.0]"
4,3,HBZM,SDT,116685.0,"LINESTRING (625112.3703745147 5743648.149506813, 623430.4853009286 5743493.016952127, 623332.750203785 5743486.164103295, 623231.4332021218 5743484.788936227, 623132.7905846778 5743486.819617028, 623032.7155298644 5743491.042600175, 622931.1809451475 5743498.570038354, 622832.294079361 5743510.615234338, 622733.9064958454 5743530.463701796, 622636.1816305567 5743551.442986952, 622536.9167258934 5743579.06294613)","[1.0, 0.0, 0.0]"
5,0,GR,BHDV,116685.0,"LINESTRING (635612.2778315934 5744408.24139962, 635570.8528687385 5744384.865237659, 635519.1232713982 5744360.0983460555, 635426.3258824773 5744324.208111036, 635383.8805002554 5744313.047398188, 635279.0393057142 5744289.07648744, 635230.332761813 5744279.974055881, 635184.9510784987 5744275.4130492, 635131.2418897464 5744272.85395465, 635078.8507448547 5744272.556604148, 635029.7847697218 5744276.800644742, 634977.1843754048 5744284.28865739, 634880.1022205169 5744305.048707, 634785.5677270371 5744333.668932856, 634740.2782072669 5744351.371323599, 634689.3282189014 5744374.486434322, 634606.7797103452 5744419.011403941, 634563.2901276138 5744446.779201114, 634315.3629316323 5744617.080175287, 634277.5069983171 5744640.549719023, 634229.8580031546 5744669.321807398, 634179.5134135698 5744695.796573231, 634094.3975506987 5744733.583878124, 634047.0772554462 5744750.125166043, 633999.1277789501 5744764.424408236, 633950.5490645395 5744776.481623565, 633559.4984425701 5744860.650279168, 633362.1335237646 5744894.350671792, 633264.5593110444 5744908.451081418, 633064.0787453016 5744929.839140652, 632864.4951881785 5744943.469072412, 632764.4330614432 5744947.497771098, 632563.8263151661 5744947.758596691, 632362.7363902198 5744940.224915575, 632263.6569910484 5744933.161259305, 632064.9843308574 5744912.349391649, 631866.4856823282 5744884.873104898, 631669.5963566687 5744848.544436223, 631571.5826485133 5744827.055889636, 631475.0042088041 5744803.381261048, 631280.6124881767 5744750.441319312, 631184.8656546157 5744721.230080021, 630995.6097050471 5744656.194761525, 630902.0713542488 5744621.482655341, 630808.6187212792 5744583.436153834, 630625.958670592 5744503.0078083705, 630078.7776538879 5744256.220843967, 629985.341255183 5744217.077840687, 629891.7883441696 5744182.384821381, 629796.7699934324 5744150.994101301, 629700.9753421558 5744122.923563023, 629604.4045726862 5744098.173247739, 629507.0865612131 5744075.6311413245, 629403.4809182019 5744056.267246195)","[1.0, 0.0, 0.0]"
6,2,GND,HBZM,116685.0,"LINESTRING (626501.8772878511 5743775.330186744, 626021.7558783632 5743730.984355151, 625922.7604867569 5743719.598129284, 625822.3309396794 5743710.403450051, 625622.7655459183 5743695.390808676, 625112.3703745147 5743648.149506813)","[1.0, 0.0, 0.0]"
7,1,BHDV,GND,116685.0,"LINESTRING (629403.4809182019 5744056.267246195, 629308.7167485228 5744041.584447903, 629210.4499273836 5744029.03888395, 627914.6418446717 5743907.94157556, 627715.945953123 5743886.190731342, 626819.0343903281 5743802.249415458, 626501.8772878511 5743775.330186744)","[1.0, 0.0, 0.0]"
8,6,DDRS,DDR,116685.0,"LINESTRING (618364.3204790904 5740397.904760167, 617692.0163372392 5740503.397732877, 617197.6268005711 5740583.083352473, 615614.3444672665 5740831.250448613, 615514.6881910309 5740845.64846208, 615416.334703229 5740863.416355061, 615333.4292754312 5740869.3013784, 615227.5192749093 5740885.786814716, 615125.8482710752 5740897.920920254, 615018.7136870302 5740907.706664891)","[1.0, 0.0, 0.0]"
9,5,SDTB,DDRS,116685.0,"LINESTRING (620132.5624240215 5743534.306142269, 620083.967957003 5743432.999564763, 620065.1823722245 5743382.47829115, 620051.1134365875 5743336.520726945, 620038.5287010032 5743286.147858547, 620030.6342665899 5743241.450712196, 620023.64141454 5743187.873458371, 620020.0140660263 5743137.714800464, 620019.116405807 5743088.734108633, 620024.2651741499 5742988.713300921, 620065.8224190391 5742288.699914518, 620081.244628624 5741989.750021735, 620082.3612379961 5741943.042970862, 620078.6569075134 5741838.359857746, 620069.9678423083 5741740.233868126, 620054.941805049 5741647.520009954, 620033.1017846252 5741551.305295284, 620004.4207709422 5741452.701892823, 619970.0114199048 5741362.863568626, 619946.4965086938 5741307.779506289, 619901.7447377188 5741217.694845737, 619852.0596319671 5741131.943793138, 619796.1418866348 5741047.157406223, 619593.4011835777 5740755.250486772, 619565.9820211891 5740718.991534279, 619533.099980105 5740680.37739478, 619499.4486588509 5740645.083300349, 619468.4488336572 5740614.303289333, 619426.5497956033 5740577.700947033, 619393.375092533 5740551.320547561, 619347.2590754727 5740517.956820906, 619307.8521269534 5740492.54171128, 619261.5766605323 5740465.851220487, 619217.9530047884 5740443.674875482, 619171.5447713005 5740422.545588518, 619125.057076407 5740404.752953042, 619077.8269026343 5740389.16856067, 619029.854307334 5740375.792431365, 618979.7604196176 5740364.591938966, 618929.6136920541 5740355.616094323, 618835.3146001737 5740346.709221624, 618731.8419673572 5740346.48894023, 618681.3795628402 5740350.860454676, 618364.3204790904 5740397.904760167)","[1.0, 0.0, 0.0]"
