,From,To,Seats
0,GN,GERP,69053.0
1,GERP,HRN,54338.0
2,HRN,ASN,54338.0
3,ASN,BL,56288.0
4,BL,HGV,56288.0
5,HGV,MP,56288.0
6,MP,ZL,97933.0
7,ZL,WZ,59053.0
8,WZ,HDE,59053.0
9,HDE,NS,59053.0
10,NS,HD,59053.0
11,HD,EML,59053.0
12,EML,PT,59053.0
13,PT,NKK,59053.0
14,NKK,AVAT,59653.0
15,AVAT,AMFS,79903.0
16,AMFS,AMF,95978.0
17,AMF,DLD,65611.0
18,DLD,BHV,79867.0
19,BHV,UTO,83075.0
20,UTO,UT,113979.0
21,UT,UTLR,161735.0
22,UTLR,UTT,161735.0
23,UTT,VTN,161735.0
24,VTN,WD,161735.0
25,WD,GDG,160439.0
26,GDG,GD,162599.0
27,GD,NWK,94821.0
28,NWK,CPS,94821.0
29,CPS,RTA,94821.0
30,RTA,RTN,94821.0
31,RTN,RTD,94821.0
32,AKM,HR,23370.0
33,HR,WV,31445.0
34,WV,SWK,31845.0
35,SWK,MP,39020.0
36,ZL,KPNZ,54942.0
37,KPNZ,DRON,54942.0
38,DRON,LLS,54942.0
39,LLS,ALMO,65346.0
40,ALMO,ALMB,84246.0
41,ALMB,ALMP,84246.0
42,ALMP,ALM,84246.0
43,ALM,ALMM,138310.0
44,ALMM,AMPO,138310.0
45,AMPO,WP,111446.0
46,WP,DMNZ,88054.0
47,DMNZ,DVD,88054.0
48,DVD,RAI,88054.0
49,RAI,ASDZ,171784.0
50,ASDZ,SHL,171784.0
51,SHL,HFD,240117.0
52,HFD,NVP,119625.0
53,NVP,SSH,119625.0
54,SSH,LEDN,119625.0
55,LEDN,DVNK,184157.0
56,DVNK,VST,184157.0
57,VST,GVM,184157.0
58,GVM,LAA,184157.0
59,LAA,GVC,99857.0
60,ASD,ASS,392624.0
61,ASS,ZD,178486.0
62,ZD,KZ,106936.0
63,KZ,ZZS,106936.0
64,ZZS,WM,106936.0
65,WM,KMA,106936.0
66,KMA,UTG,106936.0
67,UTG,CAS,98108.0
68,CAS,HLO,98108.0
69,HLO,AMR,98108.0
70,AMR,AMRN,81988.0
71,AMRN,HWD,78572.0
72,HWD,SGN,45200.0
73,SGN,ANA,45200.0
74,ANA,HDRZ,45200.0
75,HDRZ,HDR,45200.0
76,ASS,ASDL,131838.0
77,ASDL,SHL,131838.0
78,HFD,RTD,51664.0
79,RTD,RTB,83108.0
80,RTB,RTZ,83108.0
81,RTZ,RTST,83108.0
82,RTST,RLB,83108.0
83,RLB,BDPB,57068.0
84,BDPB,BD,81650.0
85,EHV,EHS,172637.0
86,EHS,BET,172637.0
87,BET,BTL,172637.0
88,BTL,OT,60656.0
89,OT,TB,60656.0
90,TB,TBU,123243.0
91,TBU,TBR,100983.0
92,TBR,GZ,100983.0
93,GZ,BD,100983.0
94,DT,RSW,125900.0
95,RSW,GVMW,125900.0
96,GVMW,GV,125900.0
97,GV,LAA,84300.0
98,ASD,ASDM,239214.0
99,ASDM,ASA,150654.0
100,ASA,DVD,150654.0
101,DVD,ASB,150654.0
102,ASB,ASHD,234384.0
103,ASHD,AC,234384.0
104,AC,BKL,234384.0
105,BKL,MAS,219600.0
106,MAS,UTZL,219600.0
107,UTZL,UT,219924.0
108,DV,TWL,43075.0
109,TWL,APDO,43075.0
110,APDO,APD,43075.0
111,APD,HVL,15275.0
112,HVL,AMF,38531.0
113,AMF,BRN,64020.0
114,BRN,HVS,66244.0
115,HVS,HVSM,91632.0
116,HVSM,BSMZ,91632.0
117,BSMZ,NDB,91632.0
118,NDB,WP,64768.0
119,WP,DMN,88160.0
120,DMN,ASSP,88160.0
121,ASSP,ASDM,88160.0
122,ES,ESK,56411.0
123,ESK,HGL,56411.0
124,HGL,BN,56411.0
125,BN,AMRI,56411.0
126,AMRI,AML,56411.0
127,AML,WDN,66761.0
128,WDN,RSN,39800.0
129,RSN,HON,39800.0
130,HON,DVC,39800.0
131,DVC,DV,39800.0
132,GD,LLZM,66728.0
133,LLZM,ZTMO,66728.0
134,ZTMO,ZTM,66728.0
135,ZTM,YPB,66728.0
136,YPB,VB,66728.0
137,VB,GVC,66728.0
138,LEDN,VH,69036.0
139,VH,HIL,69036.0
140,HIL,HAD,69036.0
141,HAD,HLM,69036.0
142,HLM,HLMS,125800.0
143,HLMS,HWZB,125800.0
144,HWZB,ASS,125800.0
145,RSD,BGN,7450.0
146,BGN,RB,6850.0
147,RB,KBD,6850.0
148,KBD,KRG,6850.0
149,KRG,BZL,6850.0
150,BZL,GS,6850.0
151,GS,ARN,6850.0
152,ARN,MDB,6850.0
153,MDB,VSS,6850.0
154,VSS,VS,6850.0
155,MT,BDE,52488.0
156,BDE,BK,52488.0
157,BK,LUT,52488.0
158,LUT,STD,52488.0
159,STD,SRN,75230.0
160,SRN,EC,75230.0
161,EC,RM,75230.0
162,RM,WT,64400.0
163,WT,MZ,85143.0
164,MZ,HZE,85143.0
165,HZE,GP,85143.0
166,GP,EHV,85143.0
167,BTL,VG,111981.0
168,VG,HT,111981.0
169,HT,ZBM,118628.0
170,ZBM,GDM,119168.0
171,GDM,CL,153728.0
172,CL,HTNC,153728.0
173,HTNC,HTN,153728.0
174,HTN,UTLN,153728.0
175,UTLN,UTVR,153728.0
176,UTVR,UT,270392.0
177,ZD,ZDK,71550.0
178,ZDK,PMW,71550.0
179,PMW,PMR,71550.0
180,PMR,PMO,71550.0
181,PMO,HN,71550.0
182,HN,HNK,69850.0
183,HNK,HKS,49800.0
184,HKS,BKG,49800.0
185,BKG,BKF,49800.0
186,BKF,EKZ,49800.0
187,NM,NML,155765.0
188,NML,EST,154911.0
189,EST,AHZ,161121.0
190,AHZ,AH,161121.0
191,AH,OTB,99212.0
192,OTB,WF,99212.0
193,WF,ED,99212.0
194,ED,KLP,88400.0
195,KLP,MRN,88800.0
196,MRN,DB,109814.0
197,DB,BNK,116664.0
198,BNK,UTVR,116664.0
199,ASB,RAI,83730.0
200,VL,BR,56740.0
201,BR,HRT,43600.0
202,HRT,DN,43600.0
203,DN,HMBH,62945.0
204,HMBH,HM,62945.0
205,HM,HMH,62945.0
206,HMH,HMBV,62945.0
207,HMBV,EHV,62945.0
208,RSD,ETN,39400.0
209,ETN,BD,39400.0
210,TB,HT,62799.0
211,HT,HTO,60887.0
212,HTO,RS,60887.0
213,RS,OW,60887.0
214,OW,O,60887.0
215,O,RVS,60887.0
216,RVS,WC,60887.0
217,WC,NMD,71596.0
218,NMD,NMGO,71596.0
219,NMGO,NM,71596.0
220,AH,AHP,66198.0
221,AHP,AHPR,53868.0
222,AHPR,VP,53868.0
223,VP,RH,53868.0
224,RH,DR,53868.0
225,DR,BMN,53868.0
226,BMN,ZP,53868.0
227,ZP,DV,39200.0
228,DV,OST,39200.0
229,OST,WH,39200.0
230,WH,ZL,39200.0
231,RLB,BRD,26040.0
232,BRD,ZWD,26040.0
233,ZWD,DDR,26040.0
234,HRL,HB,34892.0
235,HB,NH,34892.0
236,NH,SN,34892.0
237,SN,SBK,34892.0
238,SBK,GLN,34892.0
