,From,To,Seats
0,GN,GERP,248225.0
1,GERP,HRN,248225.0
2,HRN,ASN,246425.0
3,ASN,BL,265225.0
4,BL,HGV,265225.0
5,HGV,MP,265625.0
6,MP,ZL,515025.0
7,ZL,WZ,242625.0
8,WZ,HDE,242625.0
9,HDE,NS,242625.0
10,NS,HD,242625.0
11,HD,EML,242625.0
12,EML,PT,242625.0
13,PT,NKK,242625.0
14,NKK,AVAT,243225.0
15,AVAT,AMFS,243225.0
16,AMFS,AMF,304775.0
17,AMF,DLD,354625.0
18,DLD,BHV,354625.0
19,BHV,UTO,354625.0
20,UTO,UT,356725.0
21,UT,UTLR,757303.0
22,UTLR,UTT,757303.0
23,UTT,VTN,757303.0
24,VTN,WD,757303.0
25,WD,GDG,757303.0
26,GDG,GD,757303.0
27,GD,NWK,384160.0
28,NWK,CPS,384160.0
29,CPS,RTA,384160.0
30,RTA,RTN,383035.0
31,RTN,RTD,383035.0
32,AKM,HR,109925.0
33,HR,WV,139300.0
34,WV,SWK,141125.0
35,SWK,MP,171400.0
36,ZL,KPNZ,283875.0
37,KPNZ,DRON,283875.0
38,DRON,LLS,283875.0
39,LLS,ALMO,360975.0
40,ALMO,ALMB,360975.0
41,ALMB,ALMP,360975.0
42,ALMP,ALM,360975.0
43,ALM,ALMM,502725.0
44,ALMM,AMPO,502725.0
45,AMPO,WP,502725.0
46,WP,DMNZ,525250.0
47,DMNZ,DVD,525250.0
48,DVD,RAI,525250.0
49,RAI,ASDZ,1076280.0
50,ASDZ,SHL,1072780.0
51,SHL,HFD,944894.0
52,HFD,NVP,610874.0
53,NVP,SSH,610874.0
54,SSH,LEDN,610874.0
55,LEDN,DVNK,1073524.0
56,DVNK,VST,1073524.0
57,VST,GVM,1073524.0
58,GVM,LAA,1073524.0
59,LAA,GVC,460150.0
60,MT,BDE,276400.0
61,BDE,BK,276400.0
62,BK,LUT,276400.0
63,LUT,STD,276400.0
64,STD,SRN,459400.0
65,SRN,EC,459400.0
66,EC,RM,459400.0
67,RM,WT,459400.0
68,WT,MZ,474800.0
69,MZ,HZE,474800.0
70,HZE,GP,474800.0
71,GP,EHV,474800.0
72,EHV,EHS,942780.0
73,EHS,BET,942780.0
74,BET,BTL,942780.0
75,BTL,VG,685600.0
76,VG,HT,685600.0
77,HT,ZBM,686200.0
78,ZBM,GDM,686200.0
