,From,To,Seats
0,GN,GERP,78648.0
1,GERP,HRN,63828.0
2,HRN,ASN,63828.0
3,ASN,BL,59103.0
4,BL,HGV,59103.0
5,HGV,MP,59103.0
6,MP,ZL,94128.0
7,ZL,WZ,64580.0
8,WZ,HDE,64580.0
9,HDE,NS,64580.0
10,NS,HD,64580.0
11,HD,EML,64580.0
12,EML,PT,64580.0
13,PT,NKK,64580.0
14,NKK,AVAT,64580.0
15,AVAT,AMFS,76726.0
16,AMFS,AMF,86051.0
17,AMF,DLD,102455.0
18,DLD,BHV,103555.0
19,BHV,UTO,103555.0
20,UTO,UT,150489.0
21,UT,UTLR,212798.0
22,UTLR,UTT,212798.0
23,UTT,VTN,212798.0
24,VTN,WD,212798.0
25,WD,GDG,201026.0
26,GDG,GD,208694.0
27,GD,NWK,106502.0
28,NWK,CPS,106502.0
29,CPS,RTA,106502.0
30,RTA,RTN,106502.0
31,RTN,RTD,106502.0
32,ZL,KPNZ,52324.0
33,KPNZ,DRON,52324.0
34,DRON,LLS,52324.0
35,LLS,ALMO,81607.0
36,ALMO,ALMB,105707.0
37,ALMB,ALMP,105707.0
38,ALMP,ALM,105707.0
39,ALM,ALMM,159568.0
40,ALMM,AMPO,159568.0
41,AMPO,WP,134132.0
42,WP,DMNZ,129901.0
43,DMNZ,DVD,129901.0
44,DVD,RAI,129901.0
45,RAI,ASDZ,219981.0
46,ASDZ,SHL,220581.0
47,SHL,HFD,247863.0
48,HFD,NVP,138275.0
49,NVP,SSH,138275.0
50,SSH,LEDN,138275.0
51,LEDN,DVNK,224689.0
52,DVNK,VST,224689.0
53,VST,GVM,224689.0
54,GVM,LAA,224689.0
55,LAA,GVC,125989.0
56,MT,BDE,48688.0
57,BDE,BK,48688.0
58,BK,LUT,48688.0
59,LUT,STD,48688.0
60,STD,SRN,78030.0
61,SRN,EC,78030.0
62,EC,RM,78030.0
63,RM,WT,67200.0
64,WT,MZ,93262.0
65,MZ,HZE,93262.0
66,HZE,GP,93262.0
67,GP,EHV,93262.0
68,EHV,EHS,192525.0
69,EHS,BET,192525.0
70,BET,BTL,192525.0
71,BTL,VG,128113.0
72,VG,HT,128113.0
73,HT,ZBM,141332.0
74,ZBM,GDM,141332.0
75,GDM,CL,170060.0
76,CL,HTNC,170060.0
77,HTNC,HTN,170060.0
78,HTN,UTLN,170060.0
79,UTLN,UTVR,170060.0
80,UTVR,UT,301626.0
81,UT,UTZL,250082.0
82,UTZL,MAS,249758.0
83,MAS,BKL,249758.0
84,BKL,AC,258272.0
85,AC,ASHD,258272.0
86,ASHD,ASB,258272.0
87,ASB,DVD,168192.0
88,DVD,ASA,168192.0
89,ASA,ASDM,168192.0
90,ASDM,ASD,276623.0
91,ASD,ASS,415916.0
92,ASS,ZD,187744.0
93,ZD,KZ,127084.0
94,KZ,ZZS,127084.0
95,ZZS,WM,127084.0
96,WM,KMA,127084.0
97,KMA,UTG,127084.0
98,UTG,CAS,108584.0
99,CAS,HLO,108584.0
100,HLO,AMR,108584.0
101,AMR,AMRN,71400.0
102,AMRN,HWD,68184.0
103,HWD,SGN,41400.0
104,SGN,ANA,41400.0
105,ANA,HDRZ,41400.0
106,HDRZ,HDR,41400.0
107,ASS,ASDL,116512.0
108,ASDL,SHL,116512.0
109,HFD,RTD,40120.0
110,RTD,RTB,191618.0
111,RTB,RTZ,190018.0
112,RTZ,RTST,190018.0
113,RTST,RLB,190018.0
114,RLB,BDPB,55668.0
115,BDPB,BD,82109.0
116,BTL,OT,64412.0
117,OT,TB,64412.0
118,TB,TBU,132164.0
119,TBU,TBR,106936.0
120,TBR,GZ,106936.0
121,GZ,BD,106936.0
122,RTD,SDM,188952.0
123,SDM,DTCP,188952.0
124,DTCP,DT,188952.0
125,DT,RSW,188952.0
126,RSW,GVMW,188952.0
127,GVMW,GV,188952.0
128,GV,GVC,89524.0
129,GV,LAA,98700.0
130,AMF,BRN,70446.0
131,BRN,HVS,82892.0
132,HVS,HVSM,129312.0
133,HVSM,BSMZ,129312.0
134,BSMZ,NDB,129312.0
135,NDB,WP,103876.0
136,WP,DMN,108431.0
137,DMN,ASSP,108431.0
138,ASSP,ASDM,108431.0
139,RSN,HON,17800.0
140,HON,DVC,17800.0
141,DVC,DV,18800.0
142,DV,TWL,29800.0
143,TWL,APDO,29800.0
144,APDO,APD,29800.0
145,APD,HVL,19500.0
146,HVL,AMF,44466.0
147,GD,LLZM,102442.0
148,LLZM,ZTMO,102442.0
149,ZTMO,ZTM,102442.0
150,ZTM,YPB,102442.0
151,YPB,VB,102442.0
152,VB,GVC,102442.0
153,LEDN,VH,113420.0
154,VH,HIL,113420.0
155,HIL,HAD,113420.0
156,HAD,HLM,114020.0
157,HLM,HLMS,151860.0
158,HLMS,HWZB,151860.0
159,HWZB,ASS,151860.0
160,RLB,BRD,134350.0
161,BRD,ZWD,134350.0
162,ZWD,DDR,134350.0
163,DDR,DDZD,81191.0
164,DDZD,ZLW,81191.0
165,ZLW,ZVB,54750.0
166,ZVB,ODB,54750.0
167,ODB,RSD,54750.0
168,RSD,BGN,51300.0
169,BGN,RB,48500.0
170,RB,KBD,48500.0
171,KBD,KRG,48500.0
172,KRG,BZL,48500.0
173,BZL,GS,48500.0
174,GS,ARN,48500.0
175,ARN,MDB,48500.0
176,MDB,VSS,48500.0
177,VSS,VS,48500.0
178,ZD,ZDK,60660.0
179,ZDK,PMW,60660.0
180,PMW,PMR,60660.0
181,PMR,PMO,60660.0
182,PMO,HN,60660.0
183,HN,HNK,58610.0
184,HNK,HKS,40160.0
185,HKS,BKG,40160.0
186,BKG,BKF,40160.0
187,BKF,EKZ,40160.0
188,NM,NML,165416.0
189,NML,EST,164342.0
190,EST,AHZ,170552.0
191,AHZ,AH,170552.0
192,AH,OTB,106512.0
193,OTB,WF,106512.0
194,WF,ED,106512.0
195,ED,KLP,95700.0
196,KLP,MRN,95700.0
197,MRN,DB,123906.0
198,DB,BNK,131566.0
199,BNK,UTVR,131566.0
200,ASB,RAI,90080.0
201,VL,BR,54785.0
202,BR,HRT,41600.0
203,HRT,DN,41600.0
204,DN,HMBH,62482.0
205,HMBH,HM,62482.0
206,HM,HMH,62482.0
207,HMH,HMBV,62482.0
208,HMBV,EHV,62482.0
209,RSD,ETN,42600.0
210,ETN,BD,42600.0
211,TB,HT,67752.0
212,HT,HTO,67441.0
213,HTO,RS,67070.0
214,RS,OW,67070.0
215,OW,O,67070.0
216,O,RVS,65798.0
217,RVS,WC,65798.0
218,WC,NMD,78528.0
219,NMD,NMGO,78528.0
220,NMGO,NM,78528.0
221,AH,AHP,71119.0
222,AHP,AHPR,59509.0
223,AHPR,VP,59509.0
224,VP,RH,59509.0
225,RH,DR,59509.0
226,DR,BMN,59509.0
227,BMN,ZP,59509.0
228,ZP,DV,42400.0
229,DV,OST,42400.0
230,OST,WH,42400.0
231,WH,ZL,42400.0
232,HRL,HB,43520.0
233,HB,NH,43520.0
234,NH,SN,43520.0
235,SN,SBK,43520.0
236,SBK,GLN,43520.0
237,GLN,STD,43520.0
238,WD,BKL,36612.0
239,HN,OBD,26784.0
240,OBD,HWD,26784.0
241,UTG,HK,30400.0
242,HK,BV,30400.0
243,BV,DRH,30400.0
244,DRH,SPTN,30400.0
245,SPTN,SPTZ,30400.0
246,SPTZ,BLL,30400.0
247,BLL,HLM,30400.0
248,UTO,HOR,46934.0
249,HOR,HVSP,46934.0
250,HVSP,HVS,46934.0
251,NDB,AMPO,25436.0
252,ZVT,OVN,29644.0
253,OVN,HLM,29644.0
254,BRN,SD,1100.0
255,SD,ST,1100.0
256,ST,STZ,1100.0
257,STZ,DLD,1100.0
258,ZLW,BDPB,26441.0
259,TL,TPSW,28728.0
260,TPSW,GDM,28728.0
261,RHN,VNDC,28206.0
262,VNDC,VNDW,28206.0
263,VNDW,MRN,28206.0
264,WD,BDG,46656.0
265,BDG,APN,46656.0
266,APN,LDL,47196.0
267,LDL,LEDN,47196.0
268,ES,ESK,32535.0
269,ESK,HGL,32535.0
270,HGL,BN,32535.0
271,BN,AMRI,32535.0
272,AMRI,AML,32535.0
273,EMN,EMNZ,6930.0
274,EMNZ,NA,6930.0
275,NA,DLN,6930.0
276,DLN,CO,6930.0
277,CO,GBG,8820.0
278,GBG,HDB,8820.0
279,HDB,MRB,12200.0
280,MRB,OMN,8820.0
281,OMN,DL,8820.0
282,DL,ZL,8820.0
283,ZP,VEM,8370.0
284,VEM,KBK,8370.0
285,KBK,APDM,8370.0
286,APDM,APD,8370.0
287,AHBF,AW,9063.0
288,AW,HZ,9063.0
289,HZ,EGHM,9063.0
290,EGHM,LG,9063.0
291,LG,HRL,15903.0
292,HRL,HRLW,15552.0
293,HRLW,VDL,15552.0
294,VDL,KMR,15552.0
295,KMR,SOG,15552.0
296,SOG,VK,15552.0
297,VK,SGL,15552.0
298,SGL,MES,15552.0
299,MES,MTN,15552.0
300,MTN,MT,15552.0
301,MT,MTR,22449.0
302,MTR,EDN,5301.0
303,EDN,FVS,5301.0
304,FVS,BRESSX,5301.0
305,BRESSX,LUIK,5301.0
306,GERP,KW,15120.0
307,KW,MTH,15120.0
308,MTH,HGZ,15120.0
309,HGZ,ZB,15120.0
310,ZB,SDA,9630.0
311,SDA,WS,9630.0
312,WS,NSCH,5355.0
313,WW,WWW,8370.0
314,WWW,LTV,8370.0
315,LTV,RL,8370.0
316,RL,VD,8370.0
317,VD,ZP,8370.0
318,WW,ATN,11610.0
319,ATN,VSV,11610.0
320,VSV,TBG,11610.0
321,TBG,GDR,11610.0
322,GDR,DTC,11610.0
323,DTC,DTCH,11610.0
324,DTCH,WL,11610.0
325,WL,DID,11610.0
326,DID,ZV,11610.0
327,ZV,DVN,11610.0
328,DVN,WTV,11610.0
329,WTV,AHP,11610.0
330,MRB,VHP,3900.0
331,VHP,DA,3900.0
332,DA,VZ,3900.0
333,VZ,AML,3900.0
334,EST,ZA,6210.0
335,ZA,HMN,6210.0
336,HMN,OP,6210.0
337,OP,KTR,6210.0
338,KTR,TL,6210.0
339,ODZ,HGLO,11700.0
340,HGLO,HGL,11700.0
341,HGL,HGLG,11310.0
342,HGLG,DDN,11310.0
343,DDN,GO,11310.0
344,GO,LC,11310.0
345,LC,ZP,11310.0
346,LG,EGH,6840.0
347,EGH,CVM,6840.0
348,CVM,KRD,6840.0
349,RM,SM,12195.0
350,SM,RV,12195.0
351,RV,TG,12195.0
352,TG,VL,12195.0
353,BR,VRY,13320.0
354,VRY,VLB,15255.0
355,VLB,BMR,15255.0
356,BMR,CK,15255.0
357,CK,MMLH,15255.0
358,MMLH,NMH,15255.0
359,NMH,NM,15255.0
360,SK,SKND,12564.0
361,SKND,MG,12564.0
362,MG,LW,12564.0
363,STV,KMW,7272.0
364,KMW,HNP,7272.0
365,HNP,WK,7272.0
366,WK,IJT,7272.0
367,IJT,SK,7272.0
368,HLGH,HLG,10638.0
369,HLG,FN,10638.0
370,FN,DRP,10638.0
371,DRP,DEI,10638.0
372,DEI,LW,10638.0
373,LW,LWC,22590.0
374,LWC,HDG,22590.0
375,HDG,FWD,22590.0
376,FWD,DWE,22590.0
377,DWE,BP,22590.0
378,BP,GK,22590.0
379,GK,ZH,22590.0
380,ZH,GN,23220.0
381,EEM,RD,5040.0
382,RD,UHM,10530.0
383,UHM,UHZ,10530.0
384,UHZ,UST,10530.0
385,UST,WFM,10530.0
386,WFM,BF,10530.0
387,BF,WSM,10530.0
388,WSM,SWD,10530.0
389,SWD,GNN,20160.0
390,GNN,GN,20160.0
391,DZ,DZW,9630.0
392,DZW,APG,9630.0
393,APG,LP,9630.0
394,LP,STM,9630.0
395,STM,BDM,9630.0
396,BDM,SWD,9630.0
397,ZB,VDM,5490.0
398,GR,BHDV,18495.0
399,BHDV,GND,18495.0
400,GND,HBZM,18495.0
401,HBZM,SDT,18495.0
402,SDT,SDTB,18495.0
403,SDTB,DDRS,18495.0
404,DDRS,DDR,18495.0
405,GDM,BSD,9990.0
406,BSD,LDM,9990.0
407,LDM,AKL,9990.0
408,AKL,GR,9990.0
409,NVD,RAT,21660.0
410,RAT,HNO,26049.0
411,HNO,ZL,26049.0
412,KPN,ZLSH,35568.0
413,ZLSH,ZL,35568.0
414,ED,EDC,14706.0
415,EDC,LTN,14706.0
416,LTN,BNZ,14706.0
417,BNZ,BNC,24966.0
418,BNC,BNN,24966.0
419,BNN,HVL,24966.0
