,From,To,Seats
0,GN,GERP,41050.0
1,GERP,HRN,41050.0
2,HRN,ASN,41050.0
3,ASN,BL,45350.0
4,BL,HGV,45350.0
5,HGV,MP,45750.0
6,MP,ZL,82200.0
7,ZL,WZ,46798.0
8,WZ,HDE,46798.0
9,HDE,NS,46798.0
10,NS,HD,46798.0
11,HD,EML,46798.0
12,EML,PT,46798.0
13,PT,NKK,46798.0
14,NKK,AVAT,46798.0
15,AVAT,AMFS,50544.0
16,AMFS,AMF,55337.0
17,AMF,DLD,59223.0
18,DLD,BHV,67107.0
19,BHV,UTO,69825.0
20,UTO,UT,93783.0
21,UT,UTLR,139308.0
22,UTLR,UTT,139308.0
23,UTT,VTN,139308.0
24,VTN,WD,139308.0
25,WD,GDG,149244.0
26,GDG,GD,150108.0
27,GD,NWK,80823.0
28,NWK,CPS,80823.0
29,CPS,RTA,80823.0
30,RTA,RTN,81423.0
31,RTN,RTD,81423.0
32,AKM,HR,19750.0
33,HR,WV,27250.0
34,WV,SWK,27200.0
35,SWK,MP,35250.0
36,ZL,KPNZ,52500.0
37,KPNZ,DRON,52500.0
38,DRON,LLS,52500.0
39,LLS,ALMO,67190.0
40,ALMO,ALMB,71040.0
41,ALMB,ALMP,71040.0
42,ALMP,ALM,71040.0
43,ALM,ALMM,101872.0
44,ALMM,AMPO,101872.0
45,AMPO,WP,82390.0
46,WP,DMNZ,86465.0
47,DMNZ,DVD,86465.0
48,DVD,RAI,86465.0
49,RAI,ASDZ,140805.0
50,ASDZ,SHL,137855.0
51,SHL,HFD,189149.0
52,HFD,NVP,102447.0
53,NVP,SSH,102447.0
54,SSH,LEDN,102447.0
55,LEDN,DVNK,150111.0
56,DVNK,VST,150111.0
57,VST,GVM,150111.0
58,GVM,LAA,150111.0
59,LAA,GVC,68387.0
60,ASD,ASS,389265.0
61,ASS,ASDL,94978.0
62,ASDL,SHL,94978.0
63,HFD,RTD,50512.0
64,EHV,EHS,140546.0
65,EHS,BET,140546.0
66,BET,BTL,140546.0
67,BTL,OT,45425.0
68,OT,TB,45425.0
69,TB,TBU,93772.0
70,TBU,TBR,81635.0
71,TBR,GZ,81635.0
72,GZ,BD,81635.0
73,DT,RSW,44924.0
74,RSW,GVMW,44924.0
75,GVMW,GV,44924.0
76,GV,LAA,78124.0
77,ASD,ASDM,187570.0
78,ASDM,ASA,144260.0
79,ASA,DVD,144060.0
80,DVD,ASB,144060.0
81,ASB,ASHD,203800.0
82,ASHD,AC,203800.0
83,AC,BKL,203800.0
84,BKL,MAS,187520.0
85,MAS,UTZL,187520.0
86,UTZL,UT,187520.0
87,ES,ESK,36287.0
88,ESK,HGL,36287.0
89,HGL,BN,36287.0
90,BN,AMRI,36287.0
91,AMRI,AML,36287.0
92,AML,WDN,42437.0
93,WDN,RSN,30125.0
94,RSN,HON,30125.0
95,HON,DVC,30125.0
96,DVC,DV,30125.0
97,DV,TWL,30675.0
98,TWL,APDO,30675.0
99,APDO,APD,30675.0
100,APD,HVL,12700.0
101,HVL,AMF,32707.0
102,AMF,BRN,25685.0
103,BRN,HVS,43585.0
104,HVS,HVSM,66967.0
105,HVSM,BSMZ,66967.0
106,BSMZ,NDB,66967.0
107,NDB,WP,47035.0
108,GD,LLZM,67686.0
109,LLZM,ZTMO,67686.0
110,ZTMO,ZTM,67686.0
111,ZTM,YPB,67686.0
112,YPB,VB,67686.0
113,VB,GVC,67686.0
114,HLM,HLMS,136288.0
115,HLMS,HWZB,136288.0
116,HWZB,ASS,136288.0
