,From,To,Seats
0,GVC,LAA,285132.0
1,LAA,GVM,292656.0
2,GVM,VST,292656.0
3,VST,DVNK,292656.0
4,DVNK,LEDN,292656.0
5,LEDN,SSH,282378.0
6,SSH,NVP,282378.0
7,NVP,HFD,282378.0
8,HFD,SHL,696544.0
9,SHL,ASDL,456278.0
10,ASDL,ASS,456278.0
11,ASS,ZD,451984.0
12,ZD,ZDK,136640.0
13,ZDK,PMW,136640.0
14,PMW,PMR,136640.0
15,PMR,PMO,136640.0
16,PMO,HN,136640.0
17,HN,HNK,106440.0
18,RTD,RTN,264816.0
19,RTN,RTA,264816.0
20,RTA,CPS,264816.0
21,CPS,NWK,264816.0
22,NWK,GD,264816.0
23,GD,GDG,473904.0
24,GDG,WD,437616.0
25,WD,BKL,257472.0
26,BKL,AC,314296.0
27,AC,ASHD,314296.0
28,ASHD,ASB,314296.0
29,ASB,DVD,314296.0
30,DVD,ASA,314296.0
31,ASA,ASDM,314296.0
32,ASDM,ASD,651876.0
33,ASD,ASS,1120940.0
34,ZD,KZ,315344.0
35,KZ,ZZS,315344.0
36,ZZS,WM,315344.0
37,WM,KMA,315344.0
38,KMA,UTG,315344.0
39,LLS,ALMO,156928.0
40,ALMO,ALMB,272288.0
41,ALMB,ALMP,272288.0
42,ALMP,ALM,272288.0
43,ALM,ALMM,473312.0
44,ALMM,AMPO,473012.0
45,AMPO,WP,305112.0
46,WP,DMNZ,240050.0
47,DMNZ,DVD,240050.0
48,DVD,RAI,240050.0
49,RAI,ASDZ,240050.0
50,ASDZ,SHL,240050.0
51,DN,HMBH,118720.0
52,HMBH,HM,119568.0
53,HM,HMH,119568.0
54,HMH,HMBV,119568.0
55,HMBV,EHV,119568.0
56,EHV,EHS,262138.0
57,EHS,BET,262138.0
58,BET,BTL,262138.0
59,BTL,VG,125080.0
60,VG,HT,125080.0
61,HT,HTO,156684.0
62,HTO,RS,155942.0
63,RS,OW,155942.0
64,OW,O,155942.0
65,HNK,HKS,8640.0
66,HKS,BKG,8640.0
67,BKG,BKF,8640.0
68,BKF,EKZ,8640.0
69,WP,DMN,336780.0
70,DMN,ASSP,336930.0
71,ASSP,ASDM,337230.0
72,HN,OBD,198072.0
73,OBD,HWD,198072.0
74,HWD,AMRN,198504.0
75,AMRN,AMR,199368.0
76,AMR,HLO,227880.0
77,HLO,CAS,227880.0
78,CAS,UTG,227880.0
79,UTG,HK,229500.0
80,HK,BV,229500.0
81,BV,DRH,229500.0
82,DRH,SPTN,229500.0
83,SPTN,SPTZ,229500.0
84,SPTZ,BLL,229500.0
85,BLL,HLM,229500.0
86,HLM,HLMS,457704.0
87,HLMS,HWZB,457704.0
88,HWZB,ASS,457704.0
89,UT,UTO,508819.0
90,UTO,HOR,267960.0
91,HOR,HVSP,267636.0
92,HVSP,HVS,267960.0
93,HVS,HVSM,438272.0
94,HVSM,BSMZ,438122.0
95,BSMZ,NDB,438472.0
96,NDB,AMPO,168350.0
97,DDR,ZWD,280974.0
98,ZWD,BRD,280974.0
99,BRD,RLB,280974.0
100,RLB,RTST,280074.0
101,RTST,RTZ,280074.0
102,RTZ,RTB,280074.0
103,RTB,RTD,280074.0
104,RTD,SDM,202698.0
105,SDM,DTCP,201398.0
106,DTCP,DT,247198.0
107,DT,RSW,247198.0
108,RSW,GVMW,247198.0
109,GVMW,GV,247198.0
110,GV,GVC,243572.0
111,ZVT,OVN,226044.0
112,OVN,HLM,226044.0
113,BRN,SD,54746.0
114,SD,ST,54746.0
115,ST,STZ,54746.0
116,STZ,DLD,54746.0
117,DLD,BHV,218225.0
118,BHV,UTO,225781.0
119,ZL,WZ,184459.0
120,WZ,HDE,184459.0
121,HDE,NS,184459.0
122,NS,HD,184459.0
123,HD,EML,184459.0
124,EML,PT,184459.0
125,PT,NKK,184459.0
126,NKK,AVAT,184459.0
127,AVAT,AMFS,271615.0
128,AMFS,AMF,265167.0
129,AMF,DLD,158211.0
130,NDB,WP,270272.0
131,AMF,BRN,111522.0
132,BRN,HVS,183064.0
133,RSD,ODB,74050.0
134,ODB,ZVB,74050.0
135,ZVB,ZLW,74050.0
136,ZLW,DDZD,211653.0
137,DDZD,DDR,211653.0
138,HT,ZBM,206172.0
139,ZBM,GDM,206712.0
140,GDM,CL,398520.0
141,CL,HTNC,398520.0
142,HTNC,HTN,398520.0
143,HTN,UTLN,398520.0
144,UTLN,UTVR,398520.0
145,UTVR,UT,595866.0
146,RSD,BGN,39700.0
147,BGN,RB,39700.0
148,RB,KBD,39700.0
149,KBD,KRG,39700.0
150,KRG,BZL,39700.0
151,BZL,GS,39700.0
152,GS,ARN,39700.0
153,ARN,MDB,39700.0
154,MDB,VSS,39700.0
155,VSS,VS,39700.0
156,GN,GERP,204416.0
157,GERP,HRN,129521.0
158,HRN,ASN,129521.0
159,LEDN,VH,117180.0
160,VH,HIL,117180.0
161,HIL,HAD,117180.0
162,HAD,HLM,117180.0
163,WT,MZ,119279.0
164,MZ,HZE,119279.0
165,HZE,GP,119279.0
166,GP,EHV,119279.0
167,BTL,OT,137058.0
168,OT,TB,137058.0
169,TB,TBU,291421.0
170,ZLW,BDPB,137603.0
171,BDPB,BD,137603.0
172,BD,GZ,154363.0
173,GZ,TBR,154363.0
174,TBR,TBU,154363.0
175,TB,HT,154681.0
176,O,RVS,150748.0
177,RVS,WC,150748.0
178,WC,NMD,217768.0
179,NMD,NMGO,217768.0
180,NMGO,NM,217768.0
181,NM,NML,194707.0
182,NML,EST,190207.0
183,EST,AHZ,227017.0
184,AHZ,AH,227017.0
185,TL,TPSW,191808.0
186,TPSW,GDM,191808.0
187,GD,LLZM,208764.0
188,LLZM,ZTMO,208764.0
189,ZTMO,ZTM,208764.0
190,ZTM,YPB,208764.0
191,YPB,VB,208764.0
192,VB,GVC,208332.0
193,UT,UTLR,449820.0
194,UTLR,UTT,449820.0
195,UTT,VTN,449820.0
196,VTN,WD,449820.0
197,ES,ESK,185737.0
198,ESK,HGL,185737.0
199,HGL,BN,185737.0
200,BN,AMRI,185737.0
201,AMRI,AML,185737.0
202,AML,WDN,67647.0
203,WDN,RSN,23700.0
204,RSN,HON,23700.0
205,HON,DVC,23700.0
206,DVC,DV,23700.0
207,DV,TWL,63525.0
208,TWL,APDO,63525.0
209,APDO,APD,63525.0
210,RHN,VNDC,163486.0
211,VNDC,VNDW,163486.0
212,VNDW,MRN,163486.0
213,MRN,DB,163486.0
214,DB,BNK,197346.0
215,BNK,UTVR,197346.0
216,UT,UTZL,221942.0
217,UTZL,MAS,220646.0
218,MAS,BKL,220996.0
219,AH,OTB,65508.0
220,OTB,WF,65508.0
221,WF,ED,65508.0
222,ZP,BMN,93385.0
223,BMN,DR,93385.0
224,DR,RH,93385.0
225,RH,VP,93385.0
226,VP,AHPR,93385.0
227,AHPR,AHP,93385.0
228,AHP,AH,172000.0
229,ASN,BL,112196.0
230,BL,HGV,112196.0
231,HGV,MP,112196.0
232,MP,ZL,133765.0
233,WD,BDG,265356.0
234,BDG,APN,265356.0
235,APN,LDL,268056.0
236,LDL,LEDN,268056.0
237,AKM,HR,21569.0
238,HR,WV,21569.0
239,WV,SWK,21569.0
240,SWK,MP,21569.0
241,ZL,KPNZ,98508.0
242,KPNZ,DRON,98508.0
243,DRON,LLS,98508.0
244,STD,SRN,70624.0
245,SRN,EC,70624.0
246,EC,RM,70624.0
247,RM,WT,400.0
248,LAA,GV,7524.0
249,EMN,EMNZ,43020.0
250,EMNZ,NA,43020.0
251,NA,DLN,43020.0
252,DLN,CO,43020.0
253,CO,GBG,52470.0
254,GBG,HDB,52470.0
255,HDB,MRB,74050.0
256,MRB,OMN,52470.0
257,OMN,DL,52470.0
258,DL,ZL,52470.0
259,ZP,VEM,56880.0
260,VEM,KBK,56880.0
261,KBK,APDM,56880.0
262,APDM,APD,56880.0
263,GERP,KW,75195.0
264,KW,MTH,75195.0
265,MTH,HGZ,75195.0
266,HGZ,ZB,75195.0
267,ZB,SDA,48015.0
268,SDA,WS,48015.0
269,WS,NSCH,26685.0
270,WW,WWW,52605.0
271,WWW,LTV,52605.0
272,LTV,RL,52605.0
273,RL,VD,52605.0
274,VD,ZP,52605.0
275,WW,ATN,76995.0
276,ATN,VSV,76995.0
277,VSV,TBG,76995.0
278,TBG,GDR,77670.0
279,GDR,DTC,77670.0
280,DTC,DTCH,78615.0
281,DTCH,WL,78615.0
282,WL,DID,78615.0
283,DID,ZV,78615.0
284,ZV,DVN,78615.0
285,DVN,WTV,78615.0
286,WTV,AHP,78615.0
287,MRB,VHP,24830.0
288,VHP,DA,24830.0
289,DA,VZ,24830.0
290,VZ,AML,24830.0
291,EST,ZA,36810.0
292,ZA,HMN,36810.0
293,HMN,OP,36810.0
294,OP,KTR,36810.0
295,KTR,TL,36810.0
296,ODZ,HGLO,74060.0
297,HGLO,HGL,74060.0
298,HGL,HGLG,71320.0
299,HGLG,DDN,71320.0
300,DDN,GO,71320.0
301,GO,LC,71190.0
302,LC,ZP,71190.0
303,MTR,MT,110757.0
304,MT,MTN,42129.0
305,MTN,MES,42129.0
306,MES,SGL,42129.0
307,SGL,VK,42129.0
308,VK,SOG,42129.0
309,SOG,KMR,42129.0
310,KMR,VDL,42129.0
311,VDL,HRLW,42129.0
312,HRLW,HRL,42129.0
313,HRL,LG,43074.0
314,LG,EGH,43074.0
315,EGH,CVM,43074.0
316,CVM,KRD,43074.0
317,RM,SM,77985.0
318,SM,RV,77985.0
319,RV,TG,77985.0
320,TG,VL,77985.0
321,VL,BR,83835.0
322,BR,VRY,84510.0
323,VRY,VLB,94185.0
324,VLB,BMR,94185.0
325,BMR,CK,94185.0
326,CK,MMLH,94185.0
327,MMLH,NMH,94185.0
328,NMH,NM,94185.0
329,MT,BDE,68628.0
330,BDE,BK,68628.0
331,BK,LUT,68628.0
332,LUT,STD,68628.0
333,HRL,HB,53808.0
334,HB,NH,53808.0
335,NH,SN,53808.0
336,SN,SBK,53808.0
337,SBK,GLN,53808.0
338,GLN,STD,53808.0
339,SK,SKND,62973.0
340,SKND,MG,62973.0
341,MG,LW,62973.0
342,STV,KMW,36666.0
343,KMW,HNP,36666.0
344,HNP,WK,36666.0
345,WK,IJT,36666.0
346,IJT,SK,36666.0
347,HLGH,HLG,53190.0
348,HLG,FN,53190.0
349,FN,DRP,53190.0
350,DRP,DEI,53190.0
351,DEI,LW,53190.0
352,LW,LWC,72162.0
353,LWC,HDG,72162.0
354,HDG,FWD,72162.0
355,FWD,DWE,72162.0
356,DWE,BP,72162.0
357,BP,GK,72162.0
358,GK,ZH,72162.0
359,ZH,GN,76230.0
360,EEM,RD,28260.0
361,RD,UHM,62820.0
362,UHM,UHZ,62820.0
363,UHZ,UST,62820.0
364,UST,WFM,62820.0
365,WFM,BF,62820.0
366,BF,WSM,62820.0
367,WSM,SWD,62820.0
368,SWD,GNN,121050.0
369,GNN,GN,121050.0
370,DZ,DZW,58230.0
371,DZW,APG,58230.0
372,APG,LP,58230.0
373,LP,STM,58230.0
374,STM,BDM,58230.0
375,BDM,SWD,58230.0
376,ZB,VDM,27180.0
377,GR,BHDV,116685.0
378,BHDV,GND,116685.0
379,GND,HBZM,116685.0
380,HBZM,SDT,116685.0
381,SDT,SDTB,116685.0
382,SDTB,DDRS,116685.0
383,DDRS,DDR,116685.0
384,GDM,BSD,64530.0
385,BSD,LDM,64530.0
386,LDM,AKL,64530.0
387,AKL,GR,64530.0
388,WDN,NVD,43947.0
389,NVD,RAT,112746.0
390,RAT,HNO,117135.0
391,HNO,ZL,117135.0
392,KPN,ZLSH,138453.0
393,ZLSH,ZL,138453.0
394,ED,EDC,91998.0
395,EDC,LTN,91998.0
396,LTN,BNZ,91998.0
397,BNZ,BNC,156294.0
398,BNC,BNN,156294.0
399,BNN,HVL,156294.0
400,HVL,AMF,156294.0
