,From,To,Seats
0,GN,GERP,31900.0
1,GERP,HRN,31900.0
2,HRN,ASN,30100.0
3,ASN,BL,40900.0
4,BL,HGV,40900.0
5,HGV,MP,40900.0
6,MP,ZL,71900.0
7,ZL,WZ,40010.0
8,WZ,HDE,40010.0
9,HDE,NS,40010.0
10,NS,HD,40010.0
11,HD,EML,40010.0
12,EML,PT,40010.0
13,PT,NKK,40010.0
14,NKK,AVAT,40010.0
15,AVAT,AMFS,46374.0
16,AMFS,AMF,47399.0
17,AMF,DLD,43230.0
18,DLD,BHV,47628.0
19,BHV,UTO,49258.0
20,UTO,UT,68942.0
21,UT,UTLR,103294.0
22,UTLR,UTT,103294.0
23,UTT,VTN,103294.0
24,VTN,WD,103294.0
25,WD,GDG,117010.0
26,GDG,GD,117874.0
27,GD,NWK,70062.0
28,NWK,CPS,70062.0
29,CPS,RTA,70062.0
30,RTA,RTN,68337.0
31,RTN,RTD,68337.0
32,AKM,HR,16575.0
33,HR,WV,22200.0
34,WV,SWK,23400.0
35,SWK,MP,30000.0
36,ZL,KPNZ,50150.0
37,KPNZ,DRON,50150.0
38,DRON,LLS,50150.0
39,LLS,ALMO,58608.0
40,ALMO,ALMB,63358.0
41,ALMB,ALMP,63358.0
42,ALMP,ALM,63358.0
43,ALM,ALMM,90565.0
44,ALMM,AMPO,90265.0
45,AMPO,WP,73633.0
46,WP,DMNZ,71509.0
47,DMNZ,DVD,71509.0
48,DVD,RAI,71509.0
49,RAI,ASDZ,123109.0
50,ASDZ,SHL,120159.0
51,SHL,HFD,173230.0
52,HFD,NVP,100500.0
53,NVP,SSH,100500.0
54,SSH,LEDN,100500.0
55,LEDN,DVNK,122416.0
56,DVNK,VST,122416.0
57,VST,GVM,122416.0
58,GVM,LAA,122416.0
59,LAA,GVC,67616.0
60,ASD,ASS,316598.0
61,ASS,ASDL,88610.0
62,ASDL,SHL,88610.0
63,HFD,RTD,44496.0
64,EHV,EHS,115918.0
65,EHS,BET,115918.0
66,BET,BTL,115918.0
67,BTL,OT,33910.0
68,OT,TB,33910.0
69,TB,TBU,78565.0
70,TBU,TBR,69979.0
71,TBR,GZ,69979.0
72,GZ,BD,69979.0
73,DT,RSW,38600.0
74,RSW,GVMW,38600.0
75,GVMW,GV,38600.0
76,GV,LAA,56000.0
77,ASD,ASDM,162273.0
78,ASDM,ASA,121956.0
79,ASA,DVD,123956.0
80,DVD,ASB,123956.0
81,ASB,ASHD,178156.0
82,ASHD,AC,178156.0
83,AC,BKL,178156.0
84,BKL,MAS,157612.0
85,MAS,UTZL,157612.0
86,UTZL,UT,157612.0
87,DT,DTCP,30600.0
88,DTCP,SDM,30600.0
89,SDM,RTD,30600.0
90,ES,ESK,33351.0
91,ESK,HGL,33351.0
92,HGL,BN,33351.0
93,BN,AMRI,33351.0
94,AMRI,AML,33351.0
95,AML,WDN,39351.0
96,WDN,RSN,26925.0
97,RSN,HON,26925.0
98,HON,DVC,26925.0
99,DVC,DV,26925.0
100,DV,TWL,27600.0
101,TWL,APDO,27600.0
102,APDO,APD,27600.0
103,APD,HVL,6050.0
104,HVL,AMF,17678.0
105,AMF,BRN,18696.0
106,BRN,HVS,32618.0
107,HVS,HVSM,53875.0
108,HVSM,BSMZ,53725.0
109,BSMZ,NDB,54075.0
110,NDB,WP,37593.0
111,GD,LLZM,47662.0
112,LLZM,ZTMO,47662.0
113,ZTMO,ZTM,47662.0
114,ZTM,YPB,47662.0
115,YPB,VB,47662.0
116,VB,GVC,47230.0
117,HLM,HLMS,100945.0
118,HLMS,HWZB,100945.0
119,HWZB,ASS,100945.0
120,HLM,HAD,24016.0
121,HAD,HIL,24016.0
122,HIL,VH,24016.0
123,VH,LEDN,24016.0
124,RTD,RTB,87774.0
125,RTB,RTZ,87774.0
126,RTZ,RTST,87774.0
127,RTST,RLB,87774.0
128,RLB,BRD,87774.0
129,BRD,ZWD,87774.0
130,ZWD,DDR,87774.0
131,DDR,DDZD,54930.0
132,DDZD,ZLW,54930.0
133,ZLW,ZVB,54400.0
134,ZVB,ODB,54400.0
135,ODB,RSD,54400.0
136,RSD,BGN,46200.0
137,BGN,RB,46200.0
138,RB,KBD,46200.0
139,KBD,KRG,46200.0
140,KRG,BZL,46200.0
141,BZL,GS,46200.0
142,GS,ARN,46200.0
143,ARN,MDB,46200.0
144,MDB,VSS,46200.0
145,VSS,VS,46200.0
146,WP,DMN,40317.0
147,DMN,ASSP,40017.0
148,ASSP,ASDM,40317.0
149,MT,BDE,45066.0
150,BDE,BK,45066.0
151,BK,LUT,45066.0
152,LUT,STD,45066.0
153,STD,SRN,64952.0
154,SRN,EC,64952.0
155,EC,RM,64952.0
156,RM,WT,57200.0
157,WT,MZ,64806.0
158,MZ,HZE,64806.0
159,HZE,GP,64806.0
160,GP,EHV,64806.0
161,BTL,VG,82008.0
162,VG,HT,82008.0
163,HT,ZBM,93376.0
164,ZBM,GDM,93376.0
165,GDM,CL,110980.0
166,CL,HTNC,110980.0
167,HTNC,HTN,110980.0
168,HTN,UTLN,110980.0
169,UTLN,UTVR,110980.0
170,UTVR,UT,182070.0
171,ASS,ZD,128168.0
172,ZD,ZDK,51900.0
173,ZDK,PMW,51900.0
174,PMW,PMR,51900.0
175,PMR,PMO,51900.0
176,PMO,HN,51900.0
177,HN,HNK,43000.0
178,HNK,HKS,42000.0
179,HKS,BKG,42000.0
180,BKG,BKF,42000.0
181,BKF,EKZ,42000.0
182,NM,NML,79962.0
183,NML,EST,79962.0
184,EST,AHZ,82662.0
185,AHZ,AH,82662.0
186,AH,OTB,61924.0
187,OTB,WF,61924.0
188,WF,ED,61924.0
189,ED,KLP,55400.0
190,KLP,MRN,55000.0
191,MRN,DB,67090.0
192,DB,BNK,71090.0
193,BNK,UTVR,71090.0
194,ZD,KZ,76268.0
195,KZ,ZZS,76268.0
196,ZZS,WM,76268.0
197,WM,KMA,76268.0
198,KMA,UTG,76268.0
199,UTG,CAS,68616.0
200,CAS,HLO,68616.0
201,HLO,AMR,68616.0
202,AMR,AMRN,61896.0
203,AMRN,HWD,61896.0
204,HWD,SGN,39000.0
205,SGN,ANA,39000.0
206,ANA,HDRZ,39000.0
207,HDRZ,HDR,39000.0
208,ASB,RAI,51600.0
209,VL,BR,43835.0
210,BR,HRT,35600.0
211,HRT,DN,35600.0
212,DN,HMBH,42437.0
213,HMBH,HM,42649.0
214,HM,HMH,42649.0
215,HMH,HMBV,42649.0
216,HMBV,EHV,42649.0
217,TB,HT,44573.0
218,HT,HTO,44038.0
219,HTO,RS,44038.0
220,RS,OW,44038.0
221,OW,O,44038.0
