,From,To,Seats
0,GN,GERP,76382.0
1,GERP,HRN,61262.0
2,HRN,ASN,61262.0
3,ASN,BL,58212.0
4,BL,HGV,58212.0
5,HGV,MP,58212.0
6,MP,ZL,101532.0
7,ZL,WZ,79161.0
8,WZ,HDE,79161.0
9,HDE,NS,79161.0
10,NS,HD,79161.0
11,HD,EML,79161.0
12,EML,PT,79161.0
13,PT,NKK,79161.0
14,NKK,AVAT,79161.0
15,AVAT,AMFS,99861.0
16,AMFS,AMF,103945.0
17,UT,UTLR,164094.0
18,UTLR,UTT,164094.0
19,UTT,VTN,164094.0
20,VTN,WD,164094.0
21,WD,GDG,157722.0
22,GDG,GD,165498.0
23,GD,NWK,79263.0
24,NWK,CPS,79263.0
25,CPS,RTA,79263.0
26,RTA,RTN,79263.0
27,RTN,RTD,79263.0
28,AKM,HR,25120.0
29,HR,WV,33295.0
30,WV,SWK,33570.0
31,SWK,MP,42020.0
32,ZL,KPNZ,56832.0
33,KPNZ,DRON,56832.0
34,DRON,LLS,56832.0
35,LLS,ALMO,80606.0
36,ALMO,ALMB,96556.0
37,ALMB,ALMP,96556.0
38,ALMP,ALM,96556.0
39,ALM,ALMM,158359.0
40,ALMM,AMPO,158359.0
41,AMPO,WP,133005.0
42,WP,DMNZ,120575.0
43,DMNZ,DVD,120575.0
44,DVD,RAI,120575.0
45,RAI,ASDZ,206325.0
46,ASDZ,SHL,206925.0
47,SHL,HFD,254556.0
48,HFD,NVP,135800.0
49,NVP,SSH,135800.0
50,SSH,LEDN,135800.0
51,LEDN,DVNK,214254.0
52,DVNK,VST,214254.0
53,VST,GVM,214254.0
54,GVM,LAA,214254.0
55,LAA,GVC,131029.0
56,MT,BDE,50288.0
57,BDE,BK,50288.0
58,BK,LUT,50288.0
59,LUT,STD,50288.0
60,STD,SRN,81030.0
61,SRN,EC,81030.0
62,EC,RM,81030.0
63,RM,WT,70200.0
64,WT,MZ,89290.0
65,MZ,HZE,89290.0
66,HZE,GP,89290.0
67,GP,EHV,89290.0
68,EHV,EHS,188340.0
69,EHS,BET,188340.0
70,BET,BTL,188340.0
71,BTL,VG,129607.0
72,VG,HT,129607.0
73,HT,ZBM,140016.0
74,ZBM,GDM,140016.0
75,GDM,CL,166476.0
76,CL,HTNC,166476.0
77,HTNC,HTN,166476.0
78,HTN,UTLN,166476.0
79,UTLN,UTVR,166476.0
80,UTVR,UT,295732.0
81,UT,UTZL,246787.0
82,UTZL,MAS,246463.0
83,MAS,BKL,246813.0
84,BKL,AC,258441.0
85,AC,ASHD,258441.0
86,ASHD,ASB,258441.0
87,ASB,DVD,171391.0
88,DVD,ASA,171391.0
89,ASA,ASDM,170791.0
90,ASDM,ASD,265148.0
91,ASD,ASS,427853.0
92,ASS,ZD,192042.0
93,ZD,KZ,128732.0
94,KZ,ZZS,128732.0
95,ZZS,WM,128732.0
96,WM,KMA,128732.0
97,KMA,UTG,128732.0
98,UTG,CAS,115236.0
99,CAS,HLO,115236.0
100,HLO,AMR,115236.0
101,AMR,AMRN,79336.0
102,AMRN,HWD,75736.0
103,HWD,SGN,44200.0
104,SGN,ANA,44200.0
105,ANA,HDRZ,44200.0
106,HDRZ,HDR,44200.0
107,ASS,ASDL,127531.0
108,ASDL,SHL,127531.0
109,HFD,RTD,50956.0
110,RTD,RTB,182986.0
111,RTB,RTZ,179786.0
112,RTZ,RTST,179786.0
113,RTST,RLB,179786.0
114,RLB,BDPB,60536.0
115,BDPB,BD,86324.0
116,BTL,OT,58733.0
117,OT,TB,58733.0
118,TB,TBU,124191.0
119,TBU,TBR,105906.0
120,TBR,GZ,105906.0
