,From,To,Seats
0,EMN,EMNZ,43020.0
1,EMNZ,NA,43020.0
2,NA,DLN,43020.0
3,DLN,CO,43020.0
4,CO,GBG,52470.0
5,GBG,HDB,52470.0
6,HDB,MRB,74050.0
7,MRB,OMN,52470.0
8,OMN,DL,52470.0
9,DL,ZL,52470.0
10,ZP,VEM,56880.0
11,VEM,KBK,56880.0
12,KBK,APDM,56880.0
13,APDM,APD,56880.0
14,AHBF,AW,65835.0
15,AW,HZ,65835.0
16,HZ,EGHM,65835.0
17,EGHM,LG,65835.0
18,LG,HRL,108909.0
19,HRL,HRLW,106425.0
20,HRLW,VDL,106425.0
21,VDL,KMR,106425.0
22,KMR,SOG,106425.0
23,SOG,VK,106425.0
24,VK,SGL,106425.0
25,SGL,MES,106425.0
26,MES,MTN,106425.0
27,MTN,MT,106425.0
28,MT,MTR,150087.0
29,MTR,EDN,39330.0
30,EDN,FVS,39330.0
31,FVS,BRESSX,39330.0
32,BRESSX,LUIK,39330.0
33,GN,GERP,75195.0
34,GERP,KW,75195.0
35,KW,MTH,75195.0
36,MTH,HGZ,75195.0
37,HGZ,ZB,75195.0
38,ZB,SDA,48015.0
39,SDA,WS,48015.0
40,WS,NSCH,26685.0
41,WW,WWW,52605.0
42,WWW,LTV,52605.0
43,LTV,RL,52605.0
44,RL,VD,52605.0
45,VD,ZP,52605.0
46,WW,ATN,76995.0
47,ATN,VSV,76995.0
48,VSV,TBG,76995.0
49,TBG,GDR,77670.0
50,GDR,DTC,77670.0
51,DTC,DTCH,78615.0
52,DTCH,WL,78615.0
53,WL,DID,78615.0
54,DID,ZV,78615.0
55,ZV,DVN,78615.0
56,DVN,WTV,78615.0
57,WTV,AHP,78615.0
58,AHP,AH,78615.0
59,MRB,VHP,24830.0
60,VHP,DA,24830.0
61,DA,VZ,24830.0
62,VZ,AML,24830.0
63,AH,AHZ,36810.0
64,AHZ,EST,36810.0
65,EST,ZA,36810.0
66,ZA,HMN,36810.0
67,HMN,OP,36810.0
68,OP,KTR,36810.0
69,KTR,TL,36810.0
70,ODZ,HGLO,74060.0
71,HGLO,HGL,74060.0
72,HGL,HGLG,71320.0
73,HGLG,DDN,71320.0
74,DDN,GO,71320.0
75,GO,LC,71190.0
76,LC,ZP,71190.0
77,LG,EGH,43074.0
78,EGH,CVM,43074.0
79,CVM,KRD,43074.0
80,RM,SM,77985.0
81,SM,RV,77985.0
82,RV,TG,77985.0
83,TG,VL,77985.0
84,VL,BR,83835.0
85,BR,VRY,84510.0
86,VRY,VLB,94185.0
87,VLB,BMR,94185.0
88,BMR,CK,94185.0
89,CK,MMLH,94185.0
90,MMLH,NMH,94185.0
91,NMH,NM,94185.0
92,MT,BDE,68628.0
93,BDE,BK,68628.0
94,BK,LUT,68628.0
95,LUT,STD,68628.0
96,STD,SRN,70224.0
97,SRN,EC,70224.0
98,EC,RM,70224.0
99,HRL,HB,53808.0
100,HB,NH,53808.0
101,NH,SN,53808.0
102,SN,SBK,53808.0
103,SBK,GLN,53808.0
104,GLN,STD,53808.0
105,SK,SKND,62973.0
106,SKND,MG,62973.0
107,MG,LW,62973.0
108,STV,KMW,36666.0
109,KMW,HNP,36666.0
110,HNP,WK,36666.0
111,WK,IJT,36666.0
112,IJT,SK,36666.0
113,HLGH,HLG,53190.0
114,HLG,FN,53190.0
115,FN,DRP,53190.0
116,DRP,DEI,53190.0
117,DEI,LW,53190.0
118,LW,LWC,142416.0
119,LWC,HDG,142416.0
120,HDG,FWD,142416.0
121,FWD,DWE,142416.0
122,DWE,BP,142416.0
123,BP,GK,142416.0
124,GK,ZH,142416.0
125,ZH,GN,146484.0
126,EEM,RD,28260.0
127,RD,UHM,62820.0
128,UHM,UHZ,62820.0
129,UHZ,UST,62820.0
130,UST,WFM,62820.0
131,WFM,BF,62820.0
132,BF,WSM,62820.0
133,WSM,SWD,62820.0
134,SWD,GNN,121050.0
135,GNN,GN,121050.0
136,DZ,DZW,58230.0
137,DZW,APG,58230.0
138,APG,LP,58230.0
139,LP,STM,58230.0
140,STM,BDM,58230.0
141,BDM,SWD,58230.0
142,ZB,VDM,27180.0
