,From,To,Seats,geometry
0,GR,BHDV,116685.0,"LINESTRING (4.96822 51.83401, 4.96761 51.83381, 4.96685 51.8336, 4.96549 51.8333, 4.96487 51.83321, 4.96334 51.83302, 4.96263 51.83295, 4.96197 51.83292, 4.96119 51.83291, 4.96043 51.83292, 4.95972 51.83297, 4.95896 51.83305, 4.95756 51.83326, 4.9562 51.83354, 4.95555 51.83371, 4.95482 51.83393, 4.95364 51.83435, 4.95302 51.83461, 4.94949 51.8362, 4.94895 51.83642, 4.94827 51.83669, 4.94755 51.83694, 4.94633 51.8373, 4.94565 51.83746, 4.94496 51.8376, 4.94426 51.83772, 4.93862 51.83857, 4.93577 51.83892, 4.93436 51.83907, 4.93146 51.83931, 4.92857 51.83948, 4.92712 51.83954, 4.92421 51.83959, 4.92129 51.83957, 4.91985 51.83953, 4.91696 51.83939, 4.91407 51.83919, 4.9112 51.83891, 4.90977 51.83874, 4.90836 51.83855, 4.90552 51.83812, 4.90412 51.83788, 4.90135 51.83734, 4.89998 51.83705, 4.89861 51.83673, 4.89593 51.83605, 4.8879 51.83396, 4.88653 51.83363, 4.88516 51.83334, 4.88377 51.83308, 4.88237 51.83285, 4.88096 51.83265, 4.87954 51.83247, 4.87803 51.83232)"
1,BHDV,GND,116685.0,"LINESTRING (4.87803 51.83232, 4.87665 51.83221, 4.87522 51.83212, 4.85638 51.83133, 4.85349 51.83118, 4.84045 51.83063, 4.83584 51.83046)"
2,GND,HBZM,116685.0,"LINESTRING (4.83584 51.83046, 4.82886 51.83017, 4.82742 51.83009, 4.82596 51.83003, 4.82306 51.82994, 4.81564 51.82963)"
3,HBZM,SDT,116685.0,"LINESTRING (4.81564 51.82963, 4.79119 51.82861, 4.78977 51.82857, 4.7883 51.82858, 4.78687 51.82862, 4.78542 51.82868, 4.78395 51.82877, 4.78252 51.8289, 4.7811 51.8291, 4.77969 51.82931, 4.77826 51.82958)"
4,SDT,SDTB,116685.0,"LINESTRING (4.77826 51.82958, 4.76999 51.83115, 4.76859 51.83139, 4.75888 51.83324, 4.75748 51.83348, 4.75676 51.83357, 4.75605 51.83363, 4.75537 51.83367, 4.75461 51.83369, 4.75394 51.83369, 4.75248 51.83359, 4.75172 51.83349, 4.75103 51.83339, 4.74967 51.83309, 4.74899 51.8329, 4.74837 51.8327, 4.74772 51.83247, 4.74714 51.83223, 4.74654 51.83195, 4.74601 51.83168, 4.74543 51.83135, 4.74493 51.83103, 4.74448 51.83069, 4.74401 51.83031, 4.74337 51.8297)"
5,SDTB,DDRS,116685.0,"LINESTRING (4.74337 51.8297, 4.74263 51.8288, 4.74234 51.82835, 4.74212 51.82794, 4.74192 51.82749, 4.74179 51.82709, 4.74167 51.82661, 4.7416 51.82616, 4.74157 51.82572, 4.74161 51.82482, 4.74197 51.81852, 4.74209 51.81583, 4.74209 51.81541, 4.742 51.81447, 4.74184 51.81359, 4.74159 51.81276, 4.74124 51.8119, 4.74079 51.81102, 4.74026 51.81022, 4.7399 51.80973, 4.73922 51.80893, 4.73847 51.80817, 4.73763 51.80742, 4.73459 51.80484, 4.73418 51.80452, 4.73369 51.80418, 4.73319 51.80387, 4.73273 51.8036, 4.73211 51.80328, 4.73162 51.80305, 4.73094 51.80276, 4.73036 51.80254, 4.72968 51.80231, 4.72904 51.80212, 4.72836 51.80194, 4.72768 51.80179, 4.72699 51.80166, 4.72629 51.80155, 4.72556 51.80146, 4.72483 51.80139, 4.72346 51.80133, 4.72196 51.80135, 4.72123 51.8014, 4.71665 51.80189)"
6,DDRS,DDR,116685.0,"LINESTRING (4.71665 51.80189, 4.70694 51.80298, 4.6998 51.8038, 4.67693 51.80636, 4.67549 51.80651, 4.67407 51.80669, 4.67287 51.80676, 4.67134 51.80693, 4.66987 51.80706, 4.66832 51.80717)"
7,GDM,BSD,64530.0,"LINESTRING (5.27127 51.88301, 5.26961 51.88686, 5.26714 51.89278, 5.2666 51.89384, 5.26604 51.89468, 5.26543 51.89549, 5.26468 51.89628, 5.26385 51.89701, 5.26294 51.8977, 5.26194 51.89836, 5.26087 51.89897, 5.25973 51.89953, 5.2585 51.90003, 5.25725 51.90047, 5.25593 51.90086, 5.25458 51.90119, 5.2532 51.90145, 5.25177 51.90165, 5.25032 51.90179, 5.24889 51.90185, 5.24743 51.90186, 5.24307 51.90167, 5.20242 51.89978, 5.19953 51.89962, 5.19445 51.89939)"
8,BSD,LDM,64530.0,"LINESTRING (5.19445 51.89939, 5.18501 51.89897, 5.1574 51.89768, 5.14724 51.89719, 5.14288 51.897, 5.13708 51.89669, 5.09929 51.8949, 5.09347 51.89465, 5.09141 51.89455)"
9,LDM,AKL,64530.0,"LINESTRING (5.09141 51.89455, 5.08913 51.89443, 5.08766 51.89438, 5.07605 51.89383, 5.07459 51.89375, 5.07314 51.89364, 5.0717 51.8935, 5.07026 51.89332, 5.06884 51.89312, 5.06744 51.89288, 5.06604 51.89262, 5.06467 51.89232, 5.0633 51.89198, 5.06198 51.89162, 5.02347 51.8808, 4.9943 51.87257, 4.99301 51.87215, 4.99269 51.87202)"
