,index,From,To,Seats,geometry,color
0,60,VHP,DA,24830.0,"LINESTRING (6.56965 52.45719, 6.56981 52.45593, 6.56995 52.45503, 6.5703 52.45185, 6.57038 52.45144, 6.57052 52.45089, 6.5708 52.45015, 6.57101 52.44969, 6.57618 52.44081)","[1.0, 1.0, 0.0]"
1,61,DA,VZ,24830.0,"LINESTRING (6.57618 52.44081, 6.5802 52.43391, 6.59863 52.40513, 6.59974 52.40336, 6.60045 52.40203)","[1.0, 1.0, 0.0]"
2,62,VZ,AML,24830.0,"LINESTRING (6.60045 52.40203, 6.60207 52.39921, 6.60258 52.39837, 6.60572 52.39392, 6.60636 52.39304, 6.60671 52.39261, 6.60741 52.39181, 6.60818 52.39103, 6.60899 52.39029, 6.60986 52.38958, 6.61916 52.3826, 6.62919 52.37486, 6.63008 52.37414, 6.63093 52.37341, 6.63173 52.37267, 6.6325 52.3719, 6.63584 52.36847, 6.63666 52.36769, 6.63749 52.36699, 6.63852 52.36622, 6.63948 52.36558, 6.64061 52.36492, 6.64108 52.36465, 6.6422 52.36409, 6.64338 52.36355, 6.64461 52.36306, 6.64745 52.36197, 6.64814 52.36167, 6.6486 52.36145, 6.64891 52.36126, 6.64929 52.36106, 6.64984 52.36073, 6.65066 52.36015, 6.65386 52.35804)","[1.0, 1.0, 0.0]"
3,59,MRB,VHP,24830.0,"LINESTRING (6.57531 52.50942, 6.57426 52.50889, 6.5734 52.50837, 6.57142 52.50736, 6.57083 52.50701, 6.57049 52.50678, 6.56975 52.5062, 6.56932 52.50582, 6.56881 52.50529, 6.56825 52.50459, 6.568 52.50421, 6.56775 52.50379, 6.56754 52.50337, 6.56737 52.50292, 6.56723 52.50248, 6.56712 52.50202, 6.56524 52.48814, 6.56519 52.48725, 6.56522 52.48635, 6.56532 52.48545, 6.56916 52.46221, 6.56936 52.46048, 6.56937 52.46007, 6.56965 52.45719)","[1.0, 1.0, 0.0]"
4,40,WS,NSCH,26685.0,"LINESTRING (7.03508 53.13919, 7.03667 53.13901, 7.03813 53.13882, 7.04318 53.1383, 7.04401 53.13825, 7.04546 53.13818, 7.04697 53.13822, 7.04844 53.13831, 7.05004 53.1385, 7.05143 53.13873, 7.05284 53.13903, 7.05418 53.1394, 7.11659 53.15878, 7.1485 53.16865, 7.16574 53.174, 7.19937 53.18439)","[1.0, 0.984313725490196, 0.0]"
5,142,ZB,VDM,27180.0,"LINESTRING (6.86797 53.1594, 6.87461 53.16008, 6.87648 53.16023, 6.87726 53.16026, 6.87802 53.16023, 6.87876 53.16016, 6.87948 53.16004, 6.88017 53.15988, 6.88095 53.15965, 6.88148 53.15945, 6.88195 53.15924, 6.88261 53.15887, 6.88309 53.15854, 6.88354 53.15816, 6.8839 53.15778, 6.8842 53.15737, 6.88436 53.15711, 6.8846 53.15651, 6.8849 53.15564, 6.89374 53.13016, 6.894 53.12928, 6.89407 53.12892, 6.89413 53.12839, 6.89413 53.12799, 6.8941 53.12749, 6.8934 53.12211, 6.89342 53.12173, 6.89353 53.12121, 6.89353 53.12105, 6.89287 53.11601, 6.89289 53.11566, 6.89268 53.11404, 6.89264 53.1138, 6.89242 53.11316, 6.89222 53.1128, 6.89213 53.11254, 6.89193 53.11137, 6.8918 53.11095, 6.89163 53.11051, 6.89143 53.1101, 6.89117 53.10966, 6.89056 53.10883, 6.89033 53.10858, 6.88978 53.10806, 6.88904 53.1073, 6.88886 53.10709, 6.88828 53.10652, 6.88575 53.1043, 6.88458 53.1033)","[1.0, 0.9803921568627451, 0.0]"
6,39,SDA,WS,27315.0,"LINESTRING (6.97775 53.16552, 6.98096 53.16383, 6.99098 53.15844, 6.9921 53.15786, 6.99434 53.15664, 7.00552 53.15068, 7.00886 53.14887, 7.02115 53.14231, 7.02234 53.14174, 7.02358 53.14125, 7.02487 53.14082, 7.02624 53.14046, 7.02765 53.14017, 7.03081 53.1397, 7.03508 53.13919)","[1.0, 0.9764705882352941, 0.0]"
7,38,ZB,SDA,27315.0,"LINESTRING (6.86797 53.1594, 6.87461 53.16008, 6.87724 53.16036, 6.8779 53.16041, 6.87935 53.16049, 6.8804 53.16052, 6.88189 53.16052, 6.88485 53.16044, 6.88636 53.16041, 6.88786 53.16043, 6.88934 53.16049, 6.89082 53.1606, 6.89702 53.16121, 6.89849 53.16136, 6.89995 53.16155, 6.9014 53.16178, 6.90282 53.16205, 6.90424 53.16237, 6.907 53.16303, 6.90841 53.16332, 6.90985 53.16356, 6.91133 53.16376, 6.91281 53.16392, 6.96513 53.16912, 6.96595 53.16916, 6.9667 53.16916, 6.96742 53.16914, 6.96821 53.16909, 6.9689 53.16901, 6.96967 53.1689, 6.97035 53.16877, 6.9711 53.1686, 6.97175 53.16842, 6.97234 53.16823, 6.97305 53.16797, 6.97366 53.16771, 6.97423 53.16744, 6.97775 53.16552)","[1.0, 0.9764705882352941, 0.0]"
8,126,EEM,RD,28260.0,"LINESTRING (6.8312 53.45848, 6.81888 53.46158, 6.81564 53.46237, 6.81491 53.46249, 6.81446 53.46246, 6.81386 53.46245, 6.81334 53.46235, 6.81218 53.46199, 6.80454 53.4578, 6.80122 53.45593, 6.79935 53.45485, 6.79834 53.45405, 6.797 53.45268, 6.79529 53.45105, 6.79511 53.4509, 6.79346 53.44936, 6.79272 53.44863, 6.79187 53.44787, 6.79027 53.4463, 6.76098 53.42348, 6.7601 53.42275, 6.75929 53.422, 6.75859 53.42129)","[1.0, 0.9725490196078431, 0.0]"
9,110,HNP,WK,36666.0,"LINESTRING (5.42316 52.94644, 5.42405 52.94712, 5.42594 52.94851, 5.4379 52.95771, 5.43882 52.95841, 5.44894 52.96619, 5.45447 52.97043, 5.45627 52.97186, 5.45683 52.97228)","[1.0, 0.9019607843137255, 0.0]"
10,112,IJT,SK,36666.0,"LINESTRING (5.61601 53.01471, 5.6427 53.02807, 5.64388 53.02863, 5.64509 53.02916, 5.64624 53.02974, 5.6473 53.03037, 5.64845 53.03094, 5.65071 53.03211, 5.65231 53.03292)","[1.0, 0.9019607843137255, 0.0]"
11,111,WK,IJT,36666.0,"LINESTRING (5.45683 52.97228, 5.45816 52.97327, 5.46278 52.97679, 5.46551 52.97892, 5.46646 52.97963, 5.46919 52.98174, 5.48026 52.99023, 5.48212 52.99164, 5.4831 52.99231, 5.48413 52.99297, 5.48518 52.9936, 5.48629 52.9942, 5.48743 52.99478, 5.48861 52.99533, 5.48983 52.99584, 5.49108 52.99634, 5.49235 52.99679, 5.49366 52.99722, 5.49501 52.99761, 5.49636 52.99797, 5.49776 52.99831, 5.49916 52.9986, 5.50058 52.99886, 5.50202 52.99908, 5.50348 52.99928, 5.50496 52.99943, 5.50643 52.99955, 5.5079 52.99964, 5.50942 52.99969, 5.5109 52.99971, 5.5407 53.00006, 5.54668 53.00017, 5.55564 53.00028, 5.55865 53.00028, 5.56163 53.00031, 5.58101 53.00054, 5.58248 53.00063, 5.58396 53.00078, 5.5854 53.00099, 5.58676 53.00123, 5.58821 53.00156, 5.58959 53.00194, 5.5909 53.00237, 5.59216 53.00285, 5.59336 53.00338, 5.59452 53.00395, 5.61601 53.01471)","[1.0, 0.9019607843137255, 0.0]"
12,109,KMW,HNP,36666.0,"LINESTRING (5.41085 52.90281, 5.41529 52.93517, 5.41582 52.93873, 5.41595 52.93923, 5.41631 52.94009, 5.41683 52.94098, 5.41745 52.94177, 5.41777 52.9421, 5.41819 52.9425, 5.41859 52.94285, 5.42133 52.94498, 5.42316 52.94644)","[1.0, 0.9019607843137255, 0.0]"
13,108,STV,KMW,36666.0,"LINESTRING (5.35998 52.88668, 5.36222 52.8869, 5.3666 52.88744, 5.36806 52.8876, 5.39301 52.8901, 5.39446 52.89032, 5.39587 52.89059, 5.39728 52.89091, 5.39861 52.89128, 5.39992 52.89172, 5.40119 52.89221, 5.40238 52.89276, 5.40349 52.89333, 5.40459 52.89396, 5.40558 52.89463, 5.4065 52.89533, 5.40734 52.89606, 5.4081 52.89685, 5.40878 52.89765, 5.40937 52.89849, 5.40984 52.89933, 5.41025 52.9002, 5.41055 52.90108, 5.41075 52.90198, 5.41085 52.90281)","[1.0, 0.9019607843137255, 0.0]"
14,65,EST,ZA,36810.0,"LINESTRING (5.85508 51.91694, 5.85583 51.90787, 5.8557 51.9066, 5.85561 51.90616, 5.85545 51.90571, 5.85531 51.90543, 5.85496 51.90487, 5.85477 51.90461, 5.85426 51.90407, 5.85338 51.90335, 5.85234 51.90273, 5.85165 51.90241, 5.8507 51.90205, 5.84988 51.90181, 5.84911 51.90164, 5.84784 51.90145, 5.84696 51.90138, 5.846 51.90136, 5.84567 51.90137, 5.84419 51.90152, 5.84278 51.90186, 5.84148 51.90225, 5.84015 51.90261, 5.83879 51.90295, 5.83748 51.90333, 5.83613 51.90369, 5.80316 51.91316, 5.79521 51.91543, 5.79458 51.91558, 5.79385 51.91573, 5.79318 51.91585, 5.79173 51.91605, 5.78956 51.91619, 5.72278 51.91967)","[1.0, 0.9019607843137255, 0.0]"
15,64,AHZ,EST,36810.0,"LINESTRING (5.8519 51.955, 5.85287 51.94359, 5.85508 51.91694)","[1.0, 0.9019607843137255, 0.0]"
16,67,HMN,OP,36810.0,"LINESTRING (5.67373 51.92228, 5.67211 51.9224, 5.67068 51.92254, 5.63708 51.92606)","[1.0, 0.9019607843137255, 0.0]"
17,66,ZA,HMN,36810.0,"LINESTRING (5.72278 51.91967, 5.67937 51.92191, 5.67373 51.92228)","[1.0, 0.9019607843137255, 0.0]"
18,69,KTR,TL,36810.0,"LINESTRING (5.58334 51.9313, 5.57957 51.93142, 5.57879 51.9314, 5.57592 51.93106, 5.57452 51.93081, 5.57415 51.93073, 5.54496 51.92328, 5.54366 51.92285, 5.54103 51.92208, 5.53974 51.92164, 5.5384 51.9213, 5.53708 51.92091, 5.53574 51.92057, 5.53434 51.92027, 5.53294 51.92001, 5.5302 51.9194, 5.52879 51.91918, 5.52734 51.919, 5.5054 51.91412, 5.48352 51.90922, 5.48077 51.90862, 5.45724 51.90396, 5.45588 51.90366, 5.45453 51.90335, 5.4491 51.90204, 5.44777 51.90168, 5.44647 51.90129, 5.44517 51.90087, 5.44392 51.90043, 5.44268 51.89996, 5.44146 51.89947, 5.44027 51.89894, 5.4391 51.8984, 5.43798 51.89784, 5.43688 51.89725, 5.43268 51.89476, 5.43161 51.89416, 5.43024 51.89343, 5.42576 51.89112, 5.42351 51.88999, 5.42233 51.88936)","[1.0, 0.9019607843137255, 0.0]"
19,68,OP,KTR,36810.0,"LINESTRING (5.63708 51.92606, 5.6004 51.92989, 5.5889 51.93111, 5.58758 51.93122, 5.58601 51.9313, 5.58459 51.93127, 5.58334 51.9313)","[1.0, 0.9019607843137255, 0.0]"
20,63,AH,AHZ,36810.0,"LINESTRING (5.89918 51.98506, 5.89674 51.98534, 5.89531 51.98557, 5.89258 51.98606, 5.89187 51.98614, 5.88527 51.98661, 5.88384 51.98668, 5.88236 51.98669, 5.8809 51.98675, 5.87943 51.98673, 5.87506 51.98675, 5.8743 51.98675, 5.87321 51.9867, 5.87217 51.98661, 5.87151 51.98652, 5.87075 51.9864, 5.86994 51.98625, 5.8689 51.98599, 5.86805 51.98574, 5.86728 51.98546, 5.86628 51.98505, 5.86563 51.98475, 5.86514 51.98449, 5.86455 51.98414, 5.86406 51.98382, 5.86358 51.98348, 5.86311 51.9831, 5.86243 51.98246, 5.86169 51.98161, 5.86137 51.98116, 5.85302 51.96771, 5.85253 51.96686, 5.85212 51.96601, 5.8518 51.96512, 5.85156 51.96424, 5.85141 51.96335, 5.85133 51.96245, 5.85134 51.96154, 5.8519 51.955)","[1.0, 0.9019607843137255, 0.0]"
21,29,MTR,EDN,39330.0,"LINESTRING (5.71721 50.83861, 5.71749 50.83798, 5.71765 50.83751, 5.71776 50.83708, 5.71788 50.83618, 5.71787 50.83485, 5.71702 50.80969, 5.71637 50.78901, 5.7163 50.78722, 5.71623 50.78633, 5.7161 50.78543, 5.71592 50.78453, 5.7157 50.78365, 5.71542 50.78277, 5.71511 50.78188, 5.71457 50.7806, 5.71209 50.77589, 5.71072 50.77334, 5.71 50.77194)","[1.0, 0.8823529411764706, 0.0]"
22,31,FVS,BRESSX,39330.0,"LINESTRING (5.69244 50.73781, 5.6934 50.73427, 5.69378 50.73336, 5.69408 50.73247, 5.69423 50.73149, 5.69428 50.73072, 5.69402 50.72961, 5.6934 50.72751, 5.69311 50.72603, 5.69291 50.72453, 5.69217 50.7201, 5.69195 50.71914, 5.69169 50.71875, 5.69148 50.71841, 5.69074 50.7176, 5.6892 50.7162, 5.68804 50.71517, 5.68692 50.71411, 5.68636 50.71344, 5.68589 50.71253, 5.68545 50.71136, 5.68512 50.71055, 5.68482 50.70949, 5.68451 50.70819, 5.68438 50.70726, 5.68409 50.70637, 5.68368 50.70552, 5.68318 50.70475, 5.6824 50.70382, 5.68181 50.70323, 5.68116 50.70238, 5.67994 50.70071, 5.67731 50.69706, 5.67687 50.69625, 5.6765 50.69531, 5.67587 50.69263, 5.67537 50.6914, 5.67472 50.69037, 5.67408 50.68945, 5.67336 50.68813, 5.67281 50.68735, 5.66994 50.68469, 5.66802 50.68234, 5.65942 50.67133, 5.65832 50.6698, 5.65717 50.66805, 5.65657 50.66704, 5.65601 50.66598, 5.65553 50.66518, 5.65369 50.66184, 5.6531 50.66104, 5.65109 50.6585, 5.64903 50.6566, 5.6471 50.65524, 5.64602 50.65453, 5.64319 50.65272, 5.64042 50.65129, 5.63909 50.65067, 5.63686 50.64985, 5.63321 50.64883, 5.62405 50.6469, 5.61757 50.64536, 5.61304 50.64443, 5.61113 50.6441)","[1.0, 0.8823529411764706, 0.0]"
23,30,EDN,FVS,39330.0,"LINESTRING (5.71 50.77194, 5.7094 50.77077, 5.709 50.76991, 5.70854 50.76905, 5.70758 50.76735, 5.70713 50.7665, 5.70306 50.75879, 5.70042 50.75385, 5.69974 50.753, 5.6984 50.75184, 5.69726 50.75091, 5.69635 50.75003, 5.69577 50.74921, 5.69417 50.74642, 5.69333 50.74405, 5.69309 50.74317, 5.69244 50.7405, 5.69236 50.73961, 5.69244 50.73781)","[1.0, 0.8823529411764706, 0.0]"
