,index,From,To,Seats,geometry,color
0,6,WDN,NVD,51699.0,"LINESTRING (6.59165 52.36147, 6.58621 52.36119, 6.58531 52.36118, 6.58255 52.36102, 6.58108 52.36096, 6.57962 52.36094, 6.57817 52.36094, 6.53263 52.36159, 6.53117 52.36161, 6.5297 52.36165, 6.52676 52.3618, 6.50403 52.36337, 6.50195 52.36355, 6.49761 52.36402, 6.49616 52.36416, 6.4947 52.36429, 6.49103 52.36456, 6.48594 52.36489, 6.47425 52.3657, 6.46987 52.36599, 6.46203 52.36639)","[1.0, 1.0, 0.0]"
1,5,AML,WDN,51699.0,"LINESTRING (6.65386 52.35804, 6.65066 52.36015, 6.64984 52.36073, 6.64929 52.36106, 6.64891 52.36126, 6.64809 52.36165, 6.64741 52.36194, 6.64501 52.36285, 6.64404 52.36318, 6.64331 52.36339, 6.64267 52.36356, 6.64194 52.36372, 6.64052 52.36396, 6.63963 52.36408, 6.63907 52.36412, 6.6376 52.36419, 6.63613 52.36417, 6.63467 52.36408, 6.63322 52.36397, 6.6303 52.36379, 6.59816 52.36178, 6.59165 52.36147)","[1.0, 1.0, 0.0]"
2,14,LTN,BNZ,91998.0,"LINESTRING (5.62422 52.08523, 5.62314 52.08728, 5.62292 52.08762, 5.62244 52.08853, 5.62223 52.08904, 5.62214 52.08934, 5.62207 52.0897, 5.62204 52.09029, 5.62207 52.09058, 5.6222 52.09117, 5.62239 52.09167, 5.62256 52.09199, 5.62289 52.09248, 5.62885 52.10018, 5.62925 52.10087, 5.62942 52.10132, 5.62949 52.10162, 5.62957 52.10221, 5.62999 52.10624, 5.62999 52.10671, 5.62994 52.10716, 5.62983 52.10759, 5.62963 52.10811, 5.62946 52.10846, 5.62912 52.10899, 5.62888 52.1093, 5.62851 52.1097, 5.62812 52.11006, 5.62775 52.11037, 5.62723 52.11075, 5.61188 52.12161, 5.61093 52.12231, 5.60235 52.12879)","[1.0, 0.611764705882353, 0.0]"
3,13,EDC,LTN,91998.0,"LINESTRING (5.66836 52.04359, 5.6689 52.04418, 5.66904 52.04441, 5.66921 52.0448, 5.66926 52.04501, 5.66928 52.04524, 5.66923 52.04566, 5.66917 52.04589, 5.66906 52.04611, 5.66836 52.04719, 5.66816 52.04759, 5.66809 52.04785, 5.66807 52.04807, 5.66798 52.04987, 5.66791 52.05021, 5.66784 52.05045, 5.6677 52.05075, 5.66757 52.05097, 5.66734 52.05129, 5.66709 52.05156, 5.66674 52.05187, 5.627 52.0813, 5.62642 52.08176, 5.62614 52.08203, 5.62571 52.08252, 5.62537 52.08302, 5.62456 52.08454, 5.62422 52.08523)","[1.0, 0.611764705882353, 0.0]"
4,12,ED,EDC,91998.0,"LINESTRING (5.67298 52.02764, 5.67082 52.02804, 5.67008 52.0282, 5.6695 52.02835, 5.66894 52.02853, 5.66867 52.02866, 5.66842 52.02879, 5.66797 52.02908, 5.66761 52.02937, 5.66737 52.02961, 5.66719 52.02984, 5.66699 52.03022, 5.66692 52.03046, 5.66678 52.03159, 5.66592 52.03969, 5.66592 52.03992, 5.66595 52.04027, 5.66602 52.04058, 5.6662 52.041, 5.66662 52.04175, 5.66683 52.04202, 5.66836 52.04359)","[1.0, 0.611764705882353, 0.0]"
5,3,BN,AMRI,121239.0,"LINESTRING (6.74815 52.29892, 6.7463 52.30081, 6.74558 52.30144, 6.74481 52.30201, 6.74405 52.30251, 6.74308 52.30308, 6.73004 52.31014, 6.72578 52.31218, 6.69674 52.326, 6.69594 52.32639, 6.66677 52.34202)","[1.0, 0.3333333333333333, 0.0]"
6,0,ES,ESK,121239.0,"LINESTRING (6.88999 52.22253, 6.88292 52.22175, 6.88145 52.22156, 6.88027 52.22146, 6.87933 52.22141, 6.87428 52.22094, 6.87324 52.2209, 6.87236 52.22089, 6.87134 52.22092, 6.86989 52.221, 6.86922 52.22106, 6.86845 52.22117, 6.86769 52.22129, 6.86642 52.22154, 6.86566 52.22173, 6.86501 52.2219, 6.86432 52.22211, 6.86367 52.22233, 6.86248 52.2228, 6.86186 52.22308, 6.86071 52.22366, 6.85761 52.2256, 6.83877 52.23742)","[1.0, 0.3333333333333333, 0.0]"
7,1,ESK,HGL,121239.0,"LINESTRING (6.83877 52.23742, 6.82069 52.24877, 6.81964 52.2494, 6.81758 52.25069, 6.80835 52.25648, 6.80643 52.25783, 6.80446 52.25918, 6.80332 52.25976, 6.8021 52.26031, 6.80079 52.26078, 6.79938 52.2611, 6.79781 52.2613, 6.79648 52.26146, 6.79394 52.26181)","[1.0, 0.3333333333333333, 0.0]"
8,2,HGL,BN,121239.0,"LINESTRING (6.79394 52.26181, 6.79215 52.26203, 6.79064 52.26215, 6.78866 52.26242, 6.78661 52.26276, 6.78584 52.26292, 6.7853 52.26307, 6.78454 52.26333, 6.78392 52.26361, 6.78327 52.26397, 6.7828 52.26429, 6.78245 52.26458, 6.78091 52.26611, 6.77883 52.26824, 6.75262 52.29457, 6.74869 52.29837, 6.74815 52.29892)","[1.0, 0.3333333333333333, 0.0]"
9,4,AMRI,AML,121239.0,"LINESTRING (6.66677 52.34202, 6.66271 52.3442, 6.66218 52.34451, 6.66169 52.34484, 6.66139 52.34507, 6.66099 52.34546, 6.66057 52.34599, 6.66043 52.34622, 6.66024 52.34661, 6.66007 52.34722, 6.65895 52.35325, 6.65887 52.35351, 6.65869 52.35393, 6.65848 52.3543, 6.6582 52.35466, 6.65755 52.35534, 6.65723 52.35564, 6.65657 52.35615, 6.65562 52.35685, 6.65386 52.35804)","[1.0, 0.3333333333333333, 0.0]"
