,Station,Code,Lat-coord,Lng-coord,Randstad,Type,uic
0,'s-Hertogenbosch,HT,51.69048,5.29362,0.0,knooppuntIntercitystation,8400319
1,'s-Hertogenbosch Oost,HTO,51.700553894043,5.3183331489563,0.0,stoptreinstation,8400320
2,'t Harde,HDE,52.4091682,5.893611,0.0,stoptreinstation,8400388
3,Aachen Hbf,AHBF,50.7678,6.091499,0.0,knooppuntIntercitystation,8015345
4,Aachen West,AW,50.78036,6.070715,0.0,stoptreinstation,8015199
5,Aalten,ATN,51.921326524551,6.5786272287369,0.0,stoptreinstation,8400045
6,Abcoude,AC,52.2785,4.977,1.0,stoptreinstation,8400047
7,Ahaus,EAHS,52.079796120944,7.0163583755493,0.0,stoptreinstation,8021123
8,Aime-la-Plagne,AIME,45.55438,6.64869,0.0,intercitystation,8774176
9,Airport Charles de Gaulle,ACDG,49.004048,2.571133,0.0,knooppuntIntercitystation,8727149
10,Aix-en-Provence TGV,AIXTGV,43.522819077343,5.4453134536743,0.0,intercitystation,8731901
11,Akkrum,AKM,53.046390533447,5.843611240387,0.0,stoptreinstation,8400049
12,Albertville,ALBERT,45.67302,6.38306,0.0,intercitystation,8774164
13,Alkmaar,AMR,52.63777923584,4.7397222518921,0.0,knooppuntIntercitystation,8400050
14,Alkmaar Noord,AMRN,52.643890380859,4.7641668319702,0.0,stoptreinstation,8400052
15,Almelo,AML,52.358055114746,6.6538887023926,0.0,knooppuntIntercitystation,8400051
16,Almelo de Riet,AMRI,52.341945648193,6.6666665077209,0.0,stoptreinstation,8400520
17,Almere Buiten,ALMB,52.394165039062,5.2780556678772,1.0,stoptreinstation,8400081
18,Almere Centrum,ALM,52.37503,5.21764,1.0,knooppuntIntercitystation,8400080
19,Almere Muziekwijk,ALMM,52.367500305176,5.1902775764465,1.0,stoptreinstation,8400082
20,Almere Oostvaarders,ALMO,52.403331756592,5.3005557060242,1.0,stoptreinstation,8400226
21,Almere Parkwijk,ALMP,52.376667022705,5.244722366333,1.0,stoptreinstation,8400104
22,Almere Poort,AMPO,52.342778,5.151944,1.0,stoptreinstation,8400450
23,Alphen a/d Rijn,APN,52.124443054199,4.6577777862549,1.0,knooppuntIntercitystation,8400053
24,Altenberge,EABG,52.05223,7.481202,0.0,stoptreinstation,8021148
