From,To,Difference,Maximum seats,Minimum seats
GVMW,GV,160469.0,199069.0,38600.0
RSW,GVMW,160469.0,199069.0,38600.0
DT,RSW,160469.0,199069.0,38600.0
DTCP,DT,153269.0,199069.0,45800.0
UTVR,UT,127834.0,309904.0,182070.0
ASD,ASS,127697.0,444295.0,316598.0
RTD,RTB,121916.0,205024.0,83108.0
RTZ,RTST,117916.0,201024.0,83108.0
RTST,RLB,117916.0,201024.0,83108.0
RTB,RTZ,117916.0,201024.0,83108.0
UTLR,UTT,111077.0,214371.0,103294.0
UTT,VTN,111077.0,214371.0,103294.0
VTN,WD,111077.0,214371.0,103294.0
UT,UTLR,111077.0,214371.0,103294.0
LEDN,DVNK,110758.0,233174.0,122416.0
VST,GVM,110758.0,233174.0,122416.0
GVM,LAA,110758.0,233174.0,122416.0
DVNK,VST,110758.0,233174.0,122416.0
ZWD,DDR,109160.0,135200.0,26040.0
BRD,ZWD,109160.0,135200.0,26040.0
RLB,BRD,109160.0,135200.0,26040.0
ASDZ,SHL,107727.0,227886.0,120159.0
RAI,ASDZ,104177.0,227286.0,123109.0
SHL,HFD,101087.0,274317.0,173230.0
GDG,GD,95849.0,213723.0,117874.0
BDPB,BD,92212.0,92742.0,530.0
UTO,UT,91122.0,160064.0,68942.0
GV,GVC,88920.0,92668.0,3748.0
WD,GDG,88829.0,205839.0,117010.0
EST,AHZ,87890.0,170552.0,82662.0
AHZ,AH,87890.0,170552.0,82662.0
NM,NML,85454.0,165416.0,79962.0
BET,BTL,84989.0,200907.0,115918.0
EHS,BET,84989.0,200907.0,115918.0
EHV,EHS,84989.0,200907.0,115918.0
NML,EST,84380.0,164342.0,79962.0
AMF,DLD,83815.0,109375.0,25560.0
HVSM,BSMZ,83619.0,137344.0,53725.0
HVS,HVSM,83469.0,137344.0,53875.0
BSMZ,NDB,83269.0,137344.0,54075.0
ASD,ASDM,76941.0,239214.0,162273.0
ALMM,AMPO,75245.0,165510.0,90265.0
ALM,ALMM,74945.0,165510.0,90565.0
NDB,WP,73245.0,110838.0,37593.0
DMN,ASSP,72624.0,112641.0,40017.0
WP,DMN,72324.0,112641.0,40317.0
ASSP,ASDM,72324.0,112641.0,40317.0
ASS,ZD,69500.0,197668.0,128168.0
UTLN,UTVR,66968.0,177948.0,110980.0
HTNC,HTN,66968.0,177948.0,110980.0
HTN,UTLN,66968.0,177948.0,110980.0
CL,HTNC,66968.0,177948.0,110980.0
GDM,CL,66968.0,177948.0,110980.0
AMPO,WP,64251.0,137884.0,73633.0
DVD,RAI,63527.0,135036.0,71509.0
WP,DMNZ,63527.0,135036.0,71509.0
DMNZ,DVD,63527.0,135036.0,71509.0
LAA,GVC,63413.0,131029.0,67616.0
DLD,BHV,62747.0,110375.0,47628.0
UTZL,UT,62312.0,219924.0,157612.0
MAS,UTZL,61988.0,219600.0,157612.0
BKL,MAS,61988.0,219600.0,157612.0
BHV,UTO,61117.0,110375.0,49258.0
DB,BNK,60866.0,131956.0,71090.0
BNK,UTVR,60866.0,131956.0,71090.0
AMF,BRN,58904.0,77600.0,18696.0
HLMS,HWZB,58451.0,159396.0,100945.0
HLM,HLMS,58451.0,159396.0,100945.0
HWZB,ASS,58451.0,159396.0,100945.0
MRN,DB,58366.0,125456.0,67090.0
VB,GVC,57487.0,104717.0,47230.0
LLZM,ZTMO,57055.0,104717.0,47662.0
YPB,VB,57055.0,104717.0,47662.0
ZTM,YPB,57055.0,104717.0,47662.0
GD,LLZM,57055.0,104717.0,47662.0
ZTMO,ZTM,57055.0,104717.0,47662.0
AMFS,AMF,56546.0,103945.0,47399.0
BRN,HVS,56382.0,89000.0,32618.0
AC,BKL,56228.0,234384.0,178156.0
ASHD,AC,56228.0,234384.0,178156.0
ASB,ASHD,56228.0,234384.0,178156.0
TB,TBU,55875.0,134440.0,78565.0
ZD,KZ,54740.0,131008.0,76268.0
KMA,UTG,54740.0,131008.0,76268.0
WM,KMA,54740.0,131008.0,76268.0
ZZS,WM,54740.0,131008.0,76268.0
KZ,ZZS,54740.0,131008.0,76268.0
AVAT,AMFS,53487.0,99861.0,46374.0
HT,ZBM,53252.0,146628.0,93376.0
ZBM,GDM,53252.0,146628.0,93376.0
HAD,HLM,51372.0,120408.0,69036.0
LEDN,VH,51172.0,120208.0,69036.0
HIL,HAD,51172.0,120208.0,69036.0
VH,HIL,51172.0,120208.0,69036.0
BTL,VG,50635.0,132643.0,82008.0
VG,HT,50635.0,132643.0,82008.0
GV,LAA,49725.0,105725.0,56000.0
NVP,SSH,47475.0,147975.0,100500.0
SSH,LEDN,47475.0,147975.0,100500.0
HFD,NVP,47475.0,147975.0,100500.0
BZL,GS,47350.0,54200.0,6850.0
KBD,KRG,47350.0,54200.0,6850.0
ARN,MDB,47350.0,54200.0,6850.0
BGN,RB,47350.0,54200.0,6850.0
VSS,VS,47350.0,54200.0,6850.0
MDB,VSS,47350.0,54200.0,6850.0
KRG,BZL,47350.0,54200.0,6850.0
GS,ARN,47350.0,54200.0,6850.0
RB,KBD,47350.0,54200.0,6850.0
CAS,HLO,47260.0,115876.0,68616.0
UTG,CAS,47260.0,115876.0,68616.0
HLO,AMR,47260.0,115876.0,68616.0
RSD,BGN,46750.0,54200.0,7450.0
