,From,To,Seats
0,Gn,Gerp,63528.0
1,Gerp,Hrn,63828.0
2,Hrn,Asn,63828.0
3,Asn,Bl,59103.0
4,Bl,Hgv,59103.0
5,Hgv,Mp,59103.0
6,Mp,Zl,94128.0
7,Zl,Wz,64580.0
8,Wz,Hde,64580.0
9,Hde,Ns,64580.0
10,Ns,Hd,64580.0
11,Hd,Eml,64580.0
12,Eml,Pt,64580.0
13,Pt,Nkk,64580.0
14,Nkk,Avat,64580.0
15,Avat,Amfs,76726.0
16,Amfs,Amf,86051.0
17,Amf,Dld,102455.0
18,Dld,Bhv,103555.0
19,Bhv,Uto,103555.0
20,Uto,Ut,150489.0
21,Ut,Utlr,212798.0
22,Utlr,Utt,212798.0
23,Utt,Vtn,212798.0
24,Vtn,Wd,212798.0
25,Wd,Gdg,201026.0
26,Gdg,Gd,208694.0
27,Gd,Nwk,106502.0
28,Nwk,Cps,106502.0
29,Cps,Rta,106502.0
30,Rta,Rtn,106502.0
31,Rtn,Rtd,106502.0
32,Zl,Kpnz,52324.0
33,Kpnz,Dron,52324.0
34,Dron,Lls,52324.0
35,Lls,Almo,81607.0
36,Almo,Almb,105707.0
37,Almb,Almp,105707.0
38,Almp,Alm,105707.0
39,Alm,Almm,159568.0
40,Almm,Ampo,159568.0
41,Ampo,Wp,134132.0
42,Wp,Dmnz,129901.0
43,Dmnz,Dvd,129901.0
44,Dvd,Rai,129901.0
45,Rai,Asdz,219981.0
46,Asdz,Shl,220581.0
47,Shl,Hfd,247863.0
48,Hfd,Nvp,138275.0
49,Nvp,Ssh,138275.0
50,Ssh,Ledn,138275.0
51,Ledn,Dvnk,224689.0
52,Dvnk,Vst,224689.0
53,Vst,Gvm,224689.0
54,Gvm,Laa,224689.0
55,Laa,Gvc,125989.0
56,Mt,Bde,38200.0
57,Bde,Bk,38200.0
58,Bk,Lut,38200.0
59,Lut,Std,38200.0
60,Std,Srn,67200.0
61,Srn,Ec,67200.0
62,Ec,Rm,67200.0
63,Rm,Wt,67200.0
64,Wt,Mz,93262.0
65,Mz,Hze,93262.0
66,Hze,Gp,93262.0
67,Gp,Ehv,93262.0
68,Ehv,Ehs,192525.0
69,Ehs,Bet,192525.0
70,Bet,Btl,192525.0
71,Btl,Vg,128113.0
72,Vg,Ht,128113.0
73,Ht,Zbm,141332.0
74,Zbm,Gdm,141332.0
75,Gdm,Cl,170060.0
76,Cl,Htnc,170060.0
77,Htnc,Htn,170060.0
78,Htn,Utln,170060.0
79,Utln,Utvr,170060.0
80,Utvr,Ut,301626.0
81,Ut,Utzl,250082.0
82,Utzl,Mas,249758.0
83,Mas,Bkl,249758.0
84,Bkl,Ac,258272.0
85,Ac,Ashd,258272.0
86,Ashd,Asb,258272.0
87,Asb,Dvd,168192.0
88,Dvd,Asa,168192.0
89,Asa,Asdm,168192.0
90,Asdm,Asd,276623.0
91,Asd,Ass,415916.0
92,Ass,Zd,187744.0
93,Zd,Kz,127084.0
94,Kz,Zzs,127084.0
95,Zzs,Wm,127084.0
96,Wm,Kma,127084.0
97,Kma,Utg,127084.0
98,Utg,Cas,108584.0
99,Cas,Hlo,108584.0
100,Hlo,Amr,108584.0
101,Amr,Amrn,71400.0
102,Amrn,Hwd,68184.0
103,Hwd,Sgn,41400.0
104,Sgn,Ana,41400.0
105,Ana,Hdrz,41400.0
106,Hdrz,Hdr,41400.0
107,Ass,Asdl,116512.0
108,Asdl,Shl,116512.0
109,Hfd,Rtd,40120.0
110,Rtd,Rtb,191618.0
111,Rtb,Rtz,190018.0
112,Rtz,Rtst,190018.0
113,Rtst,Rlb,190018.0
114,Rlb,Bdpb,55668.0
115,Bdpb,Bd,82109.0
116,Btl,Ot,64412.0
117,Ot,Tb,64412.0
118,Tb,Tbu,132164.0
119,Tbu,Tbr,106936.0
120,Tbr,Gz,106936.0
121,Gz,Bd,106936.0
122,Rtd,Sdm,188952.0
123,Sdm,Dtcp,188952.0
124,Dtcp,Dt,188952.0
125,Dt,Rsw,188952.0
126,Rsw,Gvmw,188952.0
127,Gvmw,Gv,188952.0
128,Gv,Gvc,89524.0
129,Gv,Laa,98700.0
130,Amf,Brn,70446.0
131,Brn,Hvs,82892.0
132,Hvs,Hvsm,129312.0
133,Hvsm,Bsmz,129312.0
134,Bsmz,Ndb,129312.0
135,Ndb,Wp,103876.0
136,Wp,Dmn,108431.0
137,Dmn,Assp,108431.0
138,Assp,Asdm,108431.0
139,Rsn,Hon,17800.0
