,From,To,Seats
0,Gn,Gerp,
1,Gerp,Hrn,
2,Hrn,Asn,
3,Asn,Bl,
4,Bl,Hgv,
5,Hgv,Mp,
6,Mp,Zl,
7,Zl,Wz,427084.0
8,Wz,Hde,427084.0
9,Hde,Ns,427084.0
10,Ns,Hd,427084.0
11,Hd,Eml,427084.0
12,Eml,Pt,427084.0
13,Pt,Nkk,427084.0
14,Nkk,Avat,427684.0
15,Avat,Amfs,514840.0
16,Amfs,Amf,569942.0
17,Amf,Dld,512836.0
18,Dld,Bhv,572850.0
19,Bhv,Uto,580406.0
20,Uto,Ut,
21,Ut,Utlr,1207123.0
22,Utlr,Utt,1207123.0
23,Utt,Vtn,1207123.0
24,Vtn,Wd,1207123.0
25,Wd,Gdg,1194919.0
26,Gdg,Gd,1231207.0
27,Gd,Nwk,
28,Nwk,Cps,
29,Cps,Rta,
30,Rta,Rtn,
31,Rtn,Rtd,
32,Lw,Gw,
33,Gw,Akm,
34,Akm,Hr,131494.0
35,Hr,Wv,160869.0
36,Wv,Swk,162694.0
37,Swk,Mp,192969.0
38,Zl,Kpnz,
39,Kpnz,Dron,
40,Dron,Lls,
41,Lls,Almo,
42,Almo,Almb,
43,Almb,Almp,
44,Almp,Alm,
45,Alm,Almm,
46,Almm,Ampo,
47,Ampo,Wp,
48,Wp,Dmnz,765300.0
49,Dmnz,Dvd,765300.0
50,Dvd,Rai,765300.0
51,Rai,Asdz,1316330.0
52,Asdz,Shl,1312830.0
53,Shl,Hfd,
54,Hfd,Nvp,
55,Nvp,Ssh,
56,Ssh,Ledn,
57,Ledn,Dvnk,
58,Dvnk,Vst,
59,Vst,Gvm,
60,Gvm,Laa,
61,Laa,Gvc,745282.0
62,Mt,Bde,
63,Bde,Bk,
64,Bk,Lut,
65,Lut,Std,
66,Std,Srn,
67,Srn,Ec,
68,Ec,Rm,
69,Rm,Wt,
70,Wt,Mz,
71,Mz,Hze,
72,Hze,Gp,
73,Gp,Ehv,
74,Ehv,Ehs,
75,Ehs,Bet,
76,Bet,Btl,
77,Btl,Vg,
78,Vg,Ht,
79,Ht,Zbm,
