From,To,Difference,Maximum seats,Minimum seats
Delft,Rijswijk,160469.0,199069.0,38600.0
Rijswijk,Den Haag Moerwijk,160469.0,199069.0,38600.0
Den Haag Moerwijk,Den Haag HS,160469.0,199069.0,38600.0
Delft Campus,Delft,153269.0,199069.0,45800.0
Utrecht Vaartsche Rijn,Utrecht Centraal,127834.0,309904.0,182070.0
Amsterdam Centraal,Amsterdam Sloterdijk,127697.0,444295.0,316598.0
Rotterdam Centraal,Rotterdam Blaak,121916.0,205024.0,83108.0
Rotterdam Stadion,Rotterdam Lombardijen,117916.0,201024.0,83108.0
Rotterdam Zuid,Rotterdam Stadion,117916.0,201024.0,83108.0
Rotterdam Blaak,Rotterdam Zuid,117916.0,201024.0,83108.0
Utrecht Terwijde,Vleuten,111077.0,214371.0,103294.0
Utrecht Leidsche Rijn,Utrecht Terwijde,111077.0,214371.0,103294.0
Utrecht Centraal,Utrecht Leidsche Rijn,111077.0,214371.0,103294.0
Vleuten,Woerden,111077.0,214371.0,103294.0
De Vink,Voorschoten,110758.0,233174.0,122416.0
Leiden Centraal,De Vink,110758.0,233174.0,122416.0
Den Haag Mariahoeve,Den Haag Laan v NOI,110758.0,233174.0,122416.0
Voorschoten,Den Haag Mariahoeve,110758.0,233174.0,122416.0
Rotterdam Lombardijen,Barendrecht,109160.0,135200.0,26040.0
Zwijndrecht,Dordrecht,109160.0,135200.0,26040.0
Barendrecht,Zwijndrecht,109160.0,135200.0,26040.0
Amsterdam Zuid,Schiphol Airport,107727.0,227886.0,120159.0
Amsterdam RAI,Amsterdam Zuid,104177.0,227286.0,123109.0
Schiphol Airport,Hoofddorp,101087.0,274317.0,173230.0
Gouda Goverwelle,Gouda,95849.0,213723.0,117874.0
Breda-Prinsenbeek,Breda,92212.0,92742.0,530.0
Utrecht Overvecht,Utrecht Centraal,91122.0,160064.0,68942.0
Den Haag HS,Den Haag Centraal,88920.0,92668.0,3748.0
Woerden,Gouda Goverwelle,88829.0,205839.0,117010.0
Elst,Arnhem Zuid,87890.0,170552.0,82662.0
Arnhem Zuid,Arnhem Centraal,87890.0,170552.0,82662.0
Nijmegen,Nijmegen Lent,85454.0,165416.0,79962.0
Eindhoven Centraal,Eindhoven Strijp-S,84989.0,200907.0,115918.0
Eindhoven Strijp-S,Best,84989.0,200907.0,115918.0
Best,Boxtel,84989.0,200907.0,115918.0
Nijmegen Lent,Elst,84380.0,164342.0,79962.0
Amersfoort Centraal,Den Dolder,83815.0,109375.0,25560.0
