,DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches,Seats
0,ARR,2024-10-07,138,13815,0,1,ZL,CO,2,GTW,3.0,135
1,ARR,2024-10-07,138,13817,0,1,ZL,CO,2,GTW,3.0,135
2,ARR,2024-10-07,138,13824,0,1,EMN,ZL,2,GTW,3.0,135
3,ARR,2024-10-07,138,13826,0,1,EMN,ZL,2,GTW,3.0,135
4,ARR,2024-10-07,138,13828,0,1,EMN,ZL,2,GTW,3.0,135
5,ARR,2024-10-07,138,13841,0,1,ZL,CO,2,GTW,3.0,135
6,ARR,2024-10-07,138,13843,0,1,ZL,CO,2,GTW,3.0,135
7,ARR,2024-10-07,138,13845,0,1,ZL,CO,2,GTW,3.0,135
8,ARR,2024-10-07,138,13847,0,1,ZL,CO,2,GTW,3.0,135
9,ARR,2024-10-07,138,13849,0,1,ZL,CO,2,GTW,3.0,135
10,ARR,2024-10-07,138,13851,0,1,ZL,EMN,3,GTW,3.0,135
11,ARR,2024-10-07,138,13853,0,1,ZL,EMN,2,GTW,3.0,135
12,ARR,2024-10-07,138,13855,0,1,ZL,EMN,2,GTW,3.0,135
13,ARR,2024-10-07,138,13830,0,3,CO,ZL,2,GTW,3.0,135
14,ARR,2024-10-07,138,13832,0,3,CO,ZL,2,GTW,3.0,135
15,ARR,2024-10-07,138,13856,0,3,CO,ZL,2,GTW,3.0,135
16,ARR,2024-10-07,138,13858,0,3,CO,ZL,2,GTW,3.0,135
17,ARR,2024-10-07,138,13860,0,3,CO,ZL,2,GTW,3.0,135
18,ARR,2024-10-07,138,13862,0,3,CO,ZL,2,GTW,3.0,135
19,ARR,2024-10-07,138,13864,0,3,CO,ZL,2,GTW,3.0,135
20,ARR,2024-10-07,178,17806,0,1,ZP,APD,2,GTW,4.0,180
21,ARR,2024-10-07,178,17810,0,1,ZP,APD,2,GTW,4.0,180
22,ARR,2024-10-07,178,17812,0,1,ZP,APD,3,GTW,3.0,135
23,ARR,2024-10-07,178,17813,0,1,APD,ZP,2,GTW,4.0,180
24,ARR,2024-10-07,178,17814,0,1,ZP,APD,3,GTW,4.0,180
25,ARR,2024-10-07,178,17815,0,1,APD,ZP,2,GTW,3.0,135
26,ARR,2024-10-07,178,17816,0,1,ZP,APD,3,GTW,3.0,135
27,ARR,2024-10-07,178,17817,0,1,APD,ZP,2,GTW,4.0,180
