,DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches,Seats
0,Keo,2024-10-07,,7909,0,1,ZL,NVD,2,FLIRT,4,228
1,Keo,2024-10-07,,7911,0,1,ZL,NVD,2,FLIRT,3,171
2,Keo,2024-10-07,,7913,0,1,ZL,NVD,2,FLIRT,4,228
3,Keo,2024-10-07,,7915,0,1,ZL,NVD,2,FLIRT,4,228
4,Keo,2024-10-07,,7916,0,1,NVD,ZL,2,FLIRT,4,228
5,Keo,2024-10-07,,7917,0,1,ZL,NVD,2,FLIRT,6,342
6,Keo,2024-10-07,,7918,0,1,NVD,ZL,2,FLIRT,4,228
7,Keo,2024-10-07,,7919,0,1,ZL,NVD,2,FLIRT,4,228
8,Keo,2024-10-07,,7920,0,1,NVD,ZL,2,FLIRT,6,342
9,Keo,2024-10-07,,7921,0,1,ZL,NVD,2,FLIRT,7,399
10,Keo,2024-10-07,,7922,0,1,NVD,ZL,2,FLIRT,4,228
11,Keo,2024-10-07,,7923,0,1,ZL,NVD,2,FLIRT,6,342
12,Keo,2024-10-07,,7924,0,1,NVD,ZL,2,FLIRT,7,399
13,Keo,2024-10-07,,7925,0,1,ZL,NVD,2,FLIRT,4,228
14,Keo,2024-10-07,,7926,0,1,NVD,ZL,2,FLIRT,6,342
15,Keo,2024-10-07,,7927,0,1,ZL,NVD,2,FLIRT,3,171
16,Keo,2024-10-07,,7928,0,1,NVD,ZL,2,FLIRT,7,399
17,Keo,2024-10-07,,7929,0,1,ZL,NVD,2,FLIRT,4,228
18,Keo,2024-10-07,,7930,0,1,NVD,ZL,2,FLIRT,7,399
19,Keo,2024-10-07,,7931,0,1,ZL,NVD,2,FLIRT,4,228
20,Keo,2024-10-07,,7932,0,1,NVD,ZL,2,FLIRT,4,228
21,Keo,2024-10-07,,7933,0,1,ZL,NVD,2,FLIRT,4,228
22,Keo,2024-10-07,,7934,0,1,NVD,ZL,2,FLIRT,4,228
23,Keo,2024-10-07,,7935,0,1,ZL,NVD,2,FLIRT,4,228
24,Keo,2024-10-07,,7936,0,1,NVD,ZL,2,FLIRT,4,228
25,Keo,2024-10-07,,7937,0,1,ZL,NVD,2,FLIRT,3,171
26,Keo,2024-10-07,,7938,0,1,NVD,ZL,2,FLIRT,4,228
27,Keo,2024-10-07,,7939,0,1,ZL,NVD,2,FLIRT,4,228
28,Keo,2024-10-07,,7940,0,1,NVD,ZL,2,FLIRT,3,171
29,Keo,2024-10-07,,7941,0,1,ZL,NVD,2,FLIRT,4,228
30,Keo,2024-10-07,,7942,0,1,NVD,ZL,2,FLIRT,4,228
31,Keo,2024-10-07,,7943,0,1,ZL,NVD,2,FLIRT,3,171
32,Keo,2024-10-07,,7944,0,1,NVD,ZL,2,FLIRT,4,228
33,Keo,2024-10-07,,7945,0,1,ZL,NVD,2,FLIRT,4,228
34,Keo,2024-10-07,,7946,0,1,NVD,ZL,2,FLIRT,3,171
35,Keo,2024-10-07,,7947,0,1,ZL,NVD,2,FLIRT,6,342
36,Keo,2024-10-07,,7948,0,1,NVD,ZL,2,FLIRT,4,228
37,Keo,2024-10-07,,7949,0,1,ZL,NVD,2,FLIRT,7,399
38,Keo,2024-10-07,,7950,0,1,NVD,ZL,2,FLIRT,4,228
39,Keo,2024-10-07,,7951,0,1,ZL,NVD,2,FLIRT,4,228
40,Keo,2024-10-07,,7952,0,1,NVD,ZL,2,FLIRT,4,228
41,Keo,2024-10-07,,7953,0,1,ZL,NVD,2,FLIRT,7,399
42,Keo,2024-10-07,,7954,0,1,NVD,ZL,2,FLIRT,4,228
43,Keo,2024-10-07,,7955,0,1,ZL,NVD,2,FLIRT,7,399
44,Keo,2024-10-07,,7956,0,1,NVD,ZL,2,FLIRT,7,399
45,Keo,2024-10-07,,7957,0,1,ZL,NVD,2,FLIRT,6,342
46,Keo,2024-10-07,,7958,0,1,NVD,ZL,2,FLIRT,7,399
47,Keo,2024-10-07,,7959,0,1,ZL,RAT,2,FLIRT,3,171
48,Keo,2024-10-07,,7960,0,1,NVD,ZL,2,FLIRT,6,342
49,Keo,2024-10-07,,7961,0,1,ZL,RAT,2,FLIRT,4,228
50,Keo,2024-10-07,,7962,0,1,NVD,ZL,2,FLIRT,7,399
51,Keo,2024-10-07,,7963,0,1,ZL,RAT,2,FLIRT,3,171
52,Keo,2024-10-07,,7964,0,1,NVD,ZL,2,FLIRT,4,228
53,Keo,2024-10-07,,7965,0,1,ZL,RAT,2,FLIRT,3,171
54,Keo,2024-10-07,,7966,0,1,NVD,ZL,2,FLIRT,6,342
55,Keo,2024-10-07,,7967,0,1,ZL,RAT,2,FLIRT,3,171
56,Keo,2024-10-07,,7968,0,1,RAT,ZL,2,FLIRT,4,228
57,Keo,2024-10-07,,7969,0,1,ZL,RAT,2,FLIRT,3,171
58,Keo,2024-10-07,,7970,0,1,RAT,ZL,2,FLIRT,3,171
59,Keo,2024-10-07,,7971,0,1,ZL,RAT,2,FLIRT,3,171
60,Keo,2024-10-07,,7972,0,1,RAT,ZL,2,FLIRT,3,171
61,Keo,2024-10-07,,7973,0,1,ZL,RAT,2,FLIRT,3,171
62,Keo,2024-10-07,,7974,0,1,RAT,ZL,2,FLIRT,3,171
63,Keo,2024-10-07,,7975,0,1,ZL,RAT,2,FLIRT,3,171
64,Keo,2024-10-07,,7976,0,1,RAT,ZL,2,FLIRT,3,171
65,Keo,2024-10-07,,7977,0,1,ZL,RAT,2,FLIRT,3,171
66,Keo,2024-10-07,,7978,0,1,RAT,ZL,2,FLIRT,3,171
67,Keo,2024-10-07,,7979,0,1,ZL,RAT,2,FLIRT,3,171
68,Keo,2024-10-07,,7980,0,1,RAT,ZL,2,FLIRT,3,171
69,Keo,2024-10-07,,7981,0,1,ZL,RAT,2,FLIRT,3,171
70,Keo,2024-10-07,,7982,0,1,RAT,ZL,2,FLIRT,3,171
71,Keo,2024-10-07,,7983,0,1,ZL,RAT,2,FLIRT,3,171
72,Keo,2024-10-07,,7984,0,1,RAT,ZL,2,FLIRT,3,171
73,Keo,2024-10-07,,7986,0,1,RAT,ZL,2,FLIRT,3,171
74,Keo,2024-10-07,,7988,0,1,RAT,ZL,2,FLIRT,3,171
75,Keo,2024-10-07,,7990,0,1,RAT,ZL,2,FLIRT,3,171
76,Keo,2024-10-07,,17911,0,1,ZL,NVD,2,FLIRT,6,342
77,Keo,2024-10-07,,17915,0,1,ZL,NVD,2,FLIRT,7,399
78,Keo,2024-10-07,,17919,0,1,ZL,NVD,2,FLIRT,7,399
79,Keo,2024-10-07,,17922,0,1,NVD,ZL,2,FLIRT,3,171
80,Keo,2024-10-07,,17923,0,1,ZL,NVD,2,FLIRT,4,228
81,Keo,2024-10-07,,17926,0,1,NVD,ZL,2,FLIRT,4,228
82,Keo,2024-10-07,,17927,0,1,ZL,NVD,2,FLIRT,4,228
83,Keo,2024-10-07,,17930,0,1,NVD,ZL,2,FLIRT,4,228
84,Keo,2024-10-07,,17931,0,1,ZL,NVD,2,FLIRT,4,228
85,Keo,2024-10-07,,17934,0,1,NVD,ZL,2,FLIRT,6,342
